,Epoch,Index number,Iteration time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3,Training stall time (sec),Delay time (sec),Batch fetch time diff (sec),Batch fetch start time diff (sec)
0,2,0,9.431510536083952,0,0,0,0,0,0,0.40900000000000003,0.005843
1,2,1,0.9103,0,0,0,0,0,0,0.47200000000000003,0.005857
2,2,2,2.97,0,0,2.0597,0,2.0597,2.0597,4.313000000000001,0.004984000000000001
3,2,3,4.70658,3.72723,3.778787,3.767307,3.79628,3.79628,0.06904999999999983,0.06905,0.40900000000000003
4,2,4,0.9103,0,0,0,0,0,0,0.853762,0.47200000000000003
5,2,5,3.038577,0,0,2.128277,0,2.128277,2.128277,4.54844,4.313000000000001
6,2,6,4.784951,3.827513,3.874651,3.793482,3.666968,3.874651,0.0471379999999999,0.207683,0.06905
7,2,7,0.9103,0,0,0,0,0,0,0.62822,0.853762
8,2,8,3.346678,0,0,2.436378,0,2.436378,2.436378,4.640437,4.54844
9,2,9,4.733924,3.48717,3.823624,3.506317,3.520161,3.823624,0.33645400000000025,0.33645400000000003,0.207683
10,2,10,0.9103,0,0,0,0,0,0,0.446382,0.62822
11,2,11,3.050634,0,0,2.140334,0,2.140334,2.140334,4.4918640000000005,4.640437
12,2,12,5.174891,3.534477,4.264591,3.429975,3.577232,4.264591,0.7301140000000004,0.834616,0.33645400000000003
13,2,13,0.9103,0,0,0,0,0,0,0.6628120000000001,0.446382
14,2,14,2.725858,0,0,1.815558,0,1.815558,1.815558,4.791754,4.4918640000000005
15,2,15,5.103851,3.420699,4.193551,3.367554,3.449312,4.193551,0.7728520000000003,0.8259970000000001,0.834616
16,2,16,0.9103,0,0,0,0,0,0,0.619036,0.6628120000000001
17,2,17,2.751478,0,0,1.841178,0,1.841178,1.841178,4.835005000000001,4.791754
18,2,18,4.9414,3.612368,4.0311,3.763515,3.466496,4.0311,0.4187320000000003,0.564604,0.8259970000000001
19,2,19,0.9103,0,0,0,0,0,0,0.7942400000000001,0.619036
20,2,20,2.796167,0,0,1.885867,0,1.885867,1.885867,4.926604,4.835005000000001
21,2,21,5.602778,4.159723,4.692478,3.879911,3.763554,4.692478,0.5327550000000008,0.9289240000000001,0.564604
22,2,22,0.9103,0,0,0,0,0,0,0.59607,0.7942400000000001
23,2,23,2.296478,0,0,1.386178,0,1.386178,1.386178,5.034667000000001,4.926604
24,2,24,6.994665,6.084365,4.388439,3.969848,3.815184,6.084365,0.0,2.269181,0.9289240000000001
25,2,25,0.9103,0,0,0,0,0,0,0.871249,0.59607
26,2,26,0.9103,0,0,0,0,0,0,5.135751,5.034667000000001
27,2,27,7.053181,6.142881,4.336403,4.042562,3.772837,6.142881,0.0,2.370044,2.269181
28,2,28,0.9103,0,0,0,0,0,0,0.982338,0.871249
29,2,29,0.9103,0,0,0,0,0,0,5.130638,5.135751
30,2,30,7.054351,6.144051,4.277862,3.784996,3.602832,6.144051,0.0,2.5412190000000003,2.370044
31,2,31,5.077752,0,0,4.167452,0,4.167452,4.167452,7.455006,0.982338
32,2,32,0.9103,0,0,0,0,0,0,4.812469,5.130638
33,2,33,2.748525,1.838225,0.262424,0,0,1.838225,0.0,2.391919,2.5412190000000003
34,2,34,5.496086,0,0,4.585786,0,4.585786,4.585786,7.847389000000001,7.455006
35,2,35,0.9103,0,0,0,0,0,0,5.082022,4.812469
36,2,36,2.667469,1.757169,0.144459,0,0,1.757169,0.0,2.4881330000000004,2.391919
