,Epoch,Index number,Start time_gpu0,Start time_gpu1,Start time_gpu2,Start time_gpu3,Fetch time (sec)_gpu0,Fetch time (sec)_gpu1,Fetch time (sec)_gpu2,Fetch time (sec)_gpu3,Fetch done time (sec)_gpu0,Fetch done time (sec)_gpu1,Fetch done time (sec)_gpu2,Fetch done time (sec)_gpu3
0,2,0,2021-08-19 14:46:38.580646,2021-08-19 14:46:38.580646,2021-08-19 14:46:38.580646,2021-08-19 14:46:38.580646,8.118354209000245,8.462635418167338,8.335746651049703,8.521510536083952,2021-08-19 14:46:46.699000,2021-08-19 14:46:47.043281,2021-08-19 14:46:46.916393,2021-08-19 14:46:47.102157
1,2,1,2021-08-19 14:46:38.580102,2021-08-19 14:46:38.580102,2021-08-19 14:46:38.580102,2021-08-19 14:46:38.580102,8.706898366101086,8.232192096067593,8.3392235559877,8.488040587864816,2021-08-19 14:46:47.287000,2021-08-19 14:46:46.812294,2021-08-19 14:46:46.919326,2021-08-19 14:46:47.068143
2,2,2,2021-08-19 14:46:38.580745,2021-08-19 14:46:38.580745,2021-08-19 14:46:38.580745,2021-08-19 14:46:38.580745,8.304254996124655,8.119824310066178,12.402817121008413,8.089270828990266,2021-08-19 14:46:46.885000,2021-08-19 14:46:46.700569,2021-08-19 14:46:50.983562,2021-08-19 14:46:46.670016
3,2,3,2021-08-19 14:46:46.799000,2021-08-19 14:46:46.799000,2021-08-19 14:46:46.799000,2021-08-19 14:46:46.799000,8.826529875164852,8.531087246024981,8.645606952020898,8.486580440076068,2021-08-19 14:46:55.625530,2021-08-19 14:46:55.330087,2021-08-19 14:46:55.444607,2021-08-19 14:46:55.285580
4,2,4,2021-08-19 14:46:46.912294,2021-08-19 14:46:46.912294,2021-08-19 14:46:46.912294,2021-08-19 14:46:46.912294,8.930499308975413,8.609099549008533,8.43973717209883,8.532293376047164,2021-08-19 14:46:55.842793,2021-08-19 14:46:55.521394,2021-08-19 14:46:55.352031,2021-08-19 14:46:55.444587
5,2,5,2021-08-19 14:46:46.770016,2021-08-19 14:46:46.770016,2021-08-19 14:46:46.770016,2021-08-19 14:46:46.770016,9.355544998077676,8.611350920051336,8.555456944042817,8.320016992045566,2021-08-19 14:46:56.125561,2021-08-19 14:46:55.381367,2021-08-19 14:46:55.325473,2021-08-19 14:46:55.090033
6,2,6,2021-08-19 14:46:55.385580,2021-08-19 14:46:55.385580,2021-08-19 14:46:55.385580,2021-08-19 14:46:55.385580,8.655740007059649,8.651321399956942,8.581631931010634,8.426145169883966,2021-08-19 14:47:04.041320,2021-08-19 14:47:04.036901,2021-08-19 14:47:03.967212,2021-08-19 14:47:03.811725
7,2,7,2021-08-19 14:46:55.452031,2021-08-19 14:46:55.452031,2021-08-19 14:46:55.452031,2021-08-19 14:46:55.452031,8.378810349851847,8.66689869388938,8.604351656045765,8.668567334068939,2021-08-19 14:47:03.830841,2021-08-19 14:47:04.118930,2021-08-19 14:47:04.056383,2021-08-19 14:47:04.120598
8,2,8,2021-08-19 14:46:55.190033,2021-08-19 14:46:55.190033,2021-08-19 14:46:55.190033,2021-08-19 14:46:55.190033,8.272410158067942,8.543801503954455,8.94192935503088,8.849932263838127,2021-08-19 14:47:03.462443,2021-08-19 14:47:03.733835,2021-08-19 14:47:04.131962,2021-08-19 14:47:04.039965
9,2,9,2021-08-19 14:47:03.911725,2021-08-19 14:47:03.911725,2021-08-19 14:47:03.911725,2021-08-19 14:47:03.911725,8.601585605181754,8.890902471961454,8.6547644759994,8.795121585018933,2021-08-19 14:47:12.513311,2021-08-19 14:47:12.802627,2021-08-19 14:47:12.566489,2021-08-19 14:47:12.706847
10,2,10,2021-08-19 14:47:03.930841,2021-08-19 14:47:03.930841,2021-08-19 14:47:03.930841,2021-08-19 14:47:03.930841,8.545351804001257,8.604279884835705,8.947262932080775,8.588815344963223,2021-08-19 14:47:12.476193,2021-08-19 14:47:12.535121,2021-08-19 14:47:12.878104,2021-08-19 14:47:12.519656
11,2,11,2021-08-19 14:47:03.562443,2021-08-19 14:47:03.562443,2021-08-19 14:47:03.562443,2021-08-19 14:47:03.562443,8.486577673116699,9.094681221060457,8.59485791483894,8.743431427050382,2021-08-19 14:47:12.049021,2021-08-19 14:47:12.657124,2021-08-19 14:47:12.157301,2021-08-19 14:47:12.305874
12,2,12,2021-08-19 14:47:12.613311,2021-08-19 14:47:12.613311,2021-08-19 14:47:12.613311,2021-08-19 14:47:12.613311,8.642164991004393,9.035824762890115,8.518516068113968,8.651929304003716,2021-08-19 14:47:21.255476,2021-08-19 14:47:21.649136,2021-08-19 14:47:21.131827,2021-08-19 14:47:21.265240
13,2,13,2021-08-19 14:47:12.576193,2021-08-19 14:47:12.576193,2021-08-19 14:47:12.576193,2021-08-19 14:47:12.576193,8.787173183867708,8.857328209094703,8.571067140903324,8.40234749414958,2021-08-19 14:47:21.363366,2021-08-19 14:47:21.433521,2021-08-19 14:47:21.147260,2021-08-19 14:47:20.978540
14,2,14,2021-08-19 14:47:12.149021,2021-08-19 14:47:12.149021,2021-08-19 14:47:12.149021,2021-08-19 14:47:12.149021,8.550421027932316,8.264529975131154,8.711048801895231,8.411159108160064,2021-08-19 14:47:20.699442,2021-08-19 14:47:20.413551,2021-08-19 14:47:20.860070,2021-08-19 14:47:20.560180
15,2,15,2021-08-19 14:47:21.231827,2021-08-19 14:47:21.231827,2021-08-19 14:47:21.231827,2021-08-19 14:47:21.231827,8.597270567901433,8.640008874004707,8.648627946851775,8.583129008999094,2021-08-19 14:47:29.829098,2021-08-19 14:47:29.871836,2021-08-19 14:47:29.880455,2021-08-19 14:47:29.814956
16,2,16,2021-08-19 14:47:21.078540,2021-08-19 14:47:21.078540,2021-08-19 14:47:21.078540,2021-08-19 14:47:21.078540,8.521808779099956,8.843917504884303,8.677258084062487,8.565584941999987,2021-08-19 14:47:29.600349,2021-08-19 14:47:29.922458,2021-08-19 14:47:29.755798,2021-08-19 14:47:29.644125
17,2,17,2021-08-19 14:47:20.513551,2021-08-19 14:47:20.513551,2021-08-19 14:47:20.513551,2021-08-19 14:47:20.513551,8.504007807932794,8.671448046108708,8.66562882810831,8.622377766063437,2021-08-19 14:47:29.017559,2021-08-19 14:47:29.184999,2021-08-19 14:47:29.179180,2021-08-19 14:47:29.135929
18,2,18,2021-08-19 14:47:29.914956,2021-08-19 14:47:29.914956,2021-08-19 14:47:29.914956,2021-08-19 14:47:29.914956,8.857298405840993,8.503177723148838,9.06159007898532,8.682813197840005,2021-08-19 14:47:38.772254,2021-08-19 14:47:38.418134,2021-08-19 14:47:38.976546,2021-08-19 14:47:38.597769
19,2,19,2021-08-19 14:47:29.700349,2021-08-19 14:47:29.700349,2021-08-19 14:47:29.700349,2021-08-19 14:47:29.700349,8.849249449092895,8.714203758863732,8.866735335905105,8.674045089166611,2021-08-19 14:47:38.549598,2021-08-19 14:47:38.414553,2021-08-19 14:47:38.567084,2021-08-19 14:47:38.374394
