,Slowest end time,Training end time,Delay time (sec),Training stall time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3
1,2021-08-19 14:46:47.102157,2021-08-19 14:46:48.012157,0,0,0,0,0,0
2,2021-08-19 14:46:47.287000,2021-08-19 14:46:48.922457,0,0,0,0,0,0
3,2021-08-19 14:46:50.983562,2021-08-19 14:46:51.893862,2.061105,2.061105,0,0,2.061105,0
4,2021-08-19 14:46:55.625530,2021-08-19 14:46:56.535830,0.0,3.731668,3.731668,3.436225,3.550745,3.391718
5,2021-08-19 14:46:55.842793,2021-08-19 14:46:57.446130,0,0,0,0,0,0
6,2021-08-19 14:46:56.125561,2021-08-19 14:46:58.356430,0,0,0,0,0,0
7,2021-08-19 14:47:04.041320,2021-08-19 14:47:04.951620,0.0,5.68489,5.68489,5.680471,5.610782,5.455295
8,2021-08-19 14:47:04.120598,2021-08-19 14:47:05.861920,0,0,0,0,0,0
9,2021-08-19 14:47:04.131962,2021-08-19 14:47:06.772220,0,0,0,0,0,0
10,2021-08-19 14:47:12.802627,2021-08-19 14:47:13.712927,0.28931600000000035,6.030407,5.741091,6.030407,5.794269,5.934627
11,2021-08-19 14:47:12.878104,2021-08-19 14:47:14.623227,0,0,0,0,0,0
12,2021-08-19 14:47:12.657124,2021-08-19 14:47:15.533527,0,0,0,0,0,0
13,2021-08-19 14:47:21.649136,2021-08-19 14:47:22.559436,0.3936599999999997,6.115609,5.721949,6.115609,5.5983,5.731713
14,2021-08-19 14:47:21.433521,2021-08-19 14:47:23.469736,0,0,0,0,0,0
15,2021-08-19 14:47:20.860070,2021-08-19 14:47:24.380036,0,0,0,0,0,0
16,2021-08-19 14:47:29.880455,2021-08-19 14:47:30.790755,0.05135700000000032,5.500419,5.449062,5.4918,5.500419,5.43492
17,2021-08-19 14:47:29.922458,2021-08-19 14:47:31.701055,0,0,0,0,0,0
18,2021-08-19 14:47:29.184999,2021-08-19 14:47:32.611355,0,0,0,0,0,0
19,2021-08-19 14:47:38.976546,2021-08-19 14:47:39.886846,0.20429200000000058,6.365191,6.160899,5.806779,6.365191,5.986414
20,2021-08-19 14:47:38.567084,2021-08-19 14:47:40.797146,0,0,0,0,0,0
21,2021-08-19 14:47:37.751976,2021-08-19 14:47:41.707446,0,0,0,0,0,0
22,2021-08-19 14:47:47.727379,2021-08-19 14:47:48.637679,0.11402299999999954,6.019933,5.90591,6.019933,5.474951,5.655613
23,2021-08-19 14:47:47.458279,2021-08-19 14:47:49.547979,0,0,0,0,0,0
24,2021-08-19 14:47:46.383383,2021-08-19 14:47:50.458279,0,0,0,0,0,0
25,2021-08-19 14:47:57.916595,2021-08-19 14:47:58.826895,0.0,7.458316,7.458316,5.229635,5.623611,5.585304
26,2021-08-19 14:47:56.492952,2021-08-19 14:47:59.737195,0,0,0,0,0,0
27,2021-08-19 14:47:54.942255,2021-08-19 14:48:00.647495,0,0,0,0,0,0
28,2021-08-19 14:48:04.575893,2021-08-19 14:48:05.486193,0.014197999999999933,3.928398,3.9142,3.803648,3.928398,3.813337
29,2021-08-19 14:48:04.897222,2021-08-19 14:48:06.396493,0,0,0,0,0,0
30,2021-08-19 14:48:03.601184,2021-08-19 14:48:07.306793,0,0,0,0,0,0
31,2021-08-19 14:48:13.326094,2021-08-19 14:48:14.236394,0.0,6.019301,6.019301,5.95959,5.760565,5.848126
32,2021-08-19 14:48:20.958755,2021-08-19 14:48:21.869055,5.680532,6.722361,1.041829,0,6.722361,0
33,2021-08-19 14:48:12.557142,2021-08-19 14:48:22.779355,0,0,0,0,0,0
34,2021-08-19 14:48:22.094323,2021-08-19 14:48:23.689655,0,0,0,0,0,0
35,2021-08-19 14:48:22.278536,2021-08-19 14:48:24.599955,0,0,0,0,0,0
36,2021-08-19 14:48:20.963913,2021-08-19 14:48:25.510255,0,0,0,0,0,0
37,2021-08-19 14:48:30.877790,2021-08-19 14:48:31.788090,0.0,5.367535,5.367535,5.330626,5.086397,5.271321
38,2021-08-19 14:48:30.940251,2021-08-19 14:48:32.698390,0,0,0,0,0,0
39,2021-08-19 14:48:31.920680,2021-08-19 14:48:33.608690,0,0,0,0,0,0
40,2021-08-19 14:48:39.719271,2021-08-19 14:48:40.629571,0.35717899999999947,6.110581,5.753402,6.042563,5.950491,6.110581
41,2021-08-19 14:48:43.828174,2021-08-19 14:48:44.738474,3.198603,3.198603,0,0,3.198603,0
42,2021-08-19 14:48:40.453547,2021-08-19 14:48:45.648774,0,0,0,0,0,0
43,2021-08-19 14:48:48.496047,2021-08-19 14:48:49.406347,0.5993209999999998,2.847273,2.247952,2.565188,2.847273,2.683872
44,2021-08-19 14:48:48.824585,2021-08-19 14:48:50.316647,0,0,0,0,0,0
45,2021-08-19 14:48:49.387544,2021-08-19 14:48:51.226947,0,0,0,0,0,0
46,2021-08-19 14:48:57.227630,2021-08-19 14:48:58.137930,0.0,6.000683,6.000683,5.680023,5.536396,5.723412
47,2021-08-19 14:48:57.212502,2021-08-19 14:48:59.048230,0,0,0,0,0,0
48,2021-08-19 14:48:58.357267,2021-08-19 14:48:59.958530,0,0,0,0,0,0
49,2021-08-19 14:49:06.030491,2021-08-19 14:49:06.940791,0.0,6.071961,6.071961,5.97837,5.623524,5.785522
50,2021-08-19 14:49:06.176451,2021-08-19 14:49:07.851091,0,0,0,0,0,0
51,2021-08-19 14:49:06.882024,2021-08-19 14:49:08.761391,0,0,0,0,0,0
52,2021-08-19 14:49:14.922012,2021-08-19 14:49:15.832312,0.35750800000000016,6.160621,5.803113,5.739458,5.89027,6.160621
53,2021-08-19 14:49:14.793691,2021-08-19 14:49:16.742612,0,0,0,0,0,0
54,2021-08-19 14:49:15.164088,2021-08-19 14:49:17.652912,0,0,0,0,0,0
55,2021-08-19 14:49:24.071781,2021-08-19 14:49:24.982081,0.45359499999999997,6.418869,5.965274,5.836758,5.898989,6.418869
56,2021-08-19 14:49:23.803642,2021-08-19 14:49:25.892381,0,0,0,0,0,0
57,2021-08-19 14:49:23.820281,2021-08-19 14:49:26.802681,0,0,0,0,0,0
58,2021-08-19 14:49:32.621014,2021-08-19 14:49:33.531314,0.0,5.818333,5.818333,5.776221,5.623556,5.463742
59,2021-08-19 14:49:33.892774,2021-08-19 14:49:34.803074,0.36146,0.36146,0,0,0.36146,0
60,2021-08-19 14:49:32.901136,2021-08-19 14:49:35.713374,0,0,0,0,0,0
61,2021-08-19 14:49:41.982217,2021-08-19 14:49:42.892517,0.0,6.268843,6.268843,5.522036,5.59327,5.744686
62,2021-08-19 14:49:41.799687,2021-08-19 14:49:43.802817,0,0,0,0,0,0
63,2021-08-19 14:49:42.275157,2021-08-19 14:49:44.713117,0,0,0,0,0,0
64,2021-08-19 14:49:50.454753,2021-08-19 14:49:51.365053,0.11101799999999962,5.741636,5.630618,5.741636,5.3593,5.278216
65,2021-08-19 14:49:54.185792,2021-08-19 14:49:55.096092,2.820739,2.820739,0,2.820739,0,0
66,2021-08-19 14:49:53.889306,2021-08-19 14:49:56.006392,0,0,0,0,0,0
67,2021-08-19 14:49:58.992369,2021-08-19 14:49:59.902669,0.318082,2.985977,2.667895,2.904306,2.624198,2.985977
68,2021-08-19 14:49:59.393033,2021-08-19 14:50:00.812969,0,0,0,0,0,0
69,2021-08-19 14:49:59.012041,2021-08-19 14:50:01.723269,0,0,0,0,0,0
70,2021-08-19 14:50:07.878540,2021-08-19 14:50:08.788840,0.16056500000000007,6.155271,5.994706,6.018208,6.022047,6.155271
71,2021-08-19 14:50:07.978384,2021-08-19 14:50:09.699140,0,0,0,0,0,0
72,2021-08-19 14:50:07.978420,2021-08-19 14:50:10.609440,0,0,0,0,0,0
73,2021-08-19 14:50:16.958109,2021-08-19 14:50:17.868409,0.293844,6.348669,6.054825,6.348669,6.296484,6.30388
74,2021-08-19 14:50:16.861053,2021-08-19 14:50:18.778709,0,0,0,0,0,0
75,2021-08-19 14:50:16.807168,2021-08-19 14:50:19.689009,0,0,0,0,0,0
76,2021-08-19 14:50:25.634849,2021-08-19 14:50:26.545149,0.0,5.94584,5.94584,5.81339,5.839547,5.917377
77,2021-08-19 14:50:28.281547,2021-08-19 14:50:29.191847,1.736398,1.736398,0,1.736398,0,0
78,2021-08-19 14:50:25.903773,2021-08-19 14:50:30.102147,0,0,0,0,0,0
79,2021-08-19 14:50:34.788211,2021-08-19 14:50:35.698511,0.0,4.686064,4.686064,4.119004,4.424965,4.648131
80,2021-08-19 14:50:42.806624,2021-08-19 14:50:43.716924,7.108113,7.108113,0,0,7.108113,0
81,2021-08-19 14:50:34.367060,2021-08-19 14:50:44.627224,0,0,0,0,0,0
82,2021-08-19 14:50:43.236153,2021-08-19 14:50:45.537524,0,0,0,0,0,0
83,2021-08-19 14:50:43.205812,2021-08-19 14:50:46.447824,0,0,0,0,0,0
84,2021-08-19 14:50:42.826531,2021-08-19 14:50:47.358124,0,0,0,0,0,0
85,2021-08-19 14:50:53.092751,2021-08-19 14:50:54.003051,2.048723,5.734627,3.685904,4.127715,4.066356,5.734627
86,2021-08-19 14:50:52.996933,2021-08-19 14:50:54.913351,0,0,0,0,0,0
87,2021-08-19 14:50:54.084813,2021-08-19 14:50:55.823651,0,0,0,0,0,0
88,2021-08-19 14:51:00.105638,2021-08-19 14:51:01.015938,0.21832199999999968,4.281987,4.063665,3.990396,4.219353,4.281987
89,2021-08-19 14:51:00.873532,2021-08-19 14:51:01.926238,0,0,0,0,0,0
90,2021-08-19 14:51:02.315257,2021-08-19 14:51:03.225557,0.216203,0.389019,0.172816,0.389019,0,0.177109
91,2021-08-19 14:51:09.047169,2021-08-19 14:51:09.957469,0.35272799999999993,5.821612,5.468884,5.388962,5.821612,5.478298
92,2021-08-19 14:51:09.748593,2021-08-19 14:51:10.867769,0,0,0,0,0,0
93,2021-08-19 14:51:10.913152,2021-08-19 14:51:11.823452,0.045383,0.045383,0,0.027746,0.045383,0
94,2021-08-19 14:51:18.070337,2021-08-19 14:51:18.980637,0.38924499999999984,6.246885,5.85764,5.706029,5.389717,6.246885
95,2021-08-19 14:51:19.216450,2021-08-19 14:51:20.126750,0.0,0.235813,0.235813,0,0,0
96,2021-08-19 14:51:20.629956,2021-08-19 14:51:21.540256,0.503206,0.503206,0,0.503206,0,0
97,2021-08-19 14:51:29.741748,2021-08-19 14:51:30.652048,3.5463639999999996,8.201492,4.655128,8.201492,4.803285,4.54147
98,2021-08-19 14:51:28.054869,2021-08-19 14:51:31.562348,0,0,0,0,0,0
99,2021-08-19 14:51:28.474249,2021-08-19 14:51:32.472648,0,0,0,0,0,0
100,2021-08-19 14:51:35.219086,2021-08-19 14:51:36.129386,0.3648850000000001,2.746438,2.381553,2.46767,2.441408,2.746438
101,2021-08-19 14:51:36.994029,2021-08-19 14:51:37.904329,0.26497800000000005,0.864643,0.599665,0.520259,0.650502,0.864643
102,2021-08-19 14:51:37.728702,2021-08-19 14:51:38.814629,0,0,0,0,0,0
103,2021-08-19 14:51:44.066047,2021-08-19 14:51:44.976347,0.1891910000000001,5.251418,5.062227,5.104407,4.940559,5.251418
104,2021-08-19 14:51:46.028846,2021-08-19 14:51:46.939146,0.0,1.052499,1.052499,0.633775,0.797247,0.631726
