,Epoch,Index number,Iteration time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3,Training stall time (sec),Delay time (sec),Batch fetch time diff (sec),Batch fetch start time diff (sec)
0,2,0,9.431510536083952,0,0,0,0,0,0,0.40315700000000004,0.0
1,2,1,0.9103,0,0,0,0,0,0,0.474706,0.0
2,2,2,2.971405,0,0,2.061105,0,2.061105,2.061105,4.3135460000000005,0.0
3,2,3,4.641968,3.731668,3.436225,3.550745,3.391718,3.731668,0.0,0.33995000000000003,0.0
4,2,4,0.9103,0,0,0,0,0,0,0.49076200000000003,0.0
5,2,5,0.9103,0,0,0,0,0,0,1.035528,0.0
6,2,6,6.59519,5.68489,5.680471,5.610782,5.455295,5.68489,0.0,0.22959500000000002,0.0
7,2,7,0.9103,0,0,0,0,0,0,0.28975700000000004,0.0
8,2,8,0.9103,0,0,0,0,0,0,0.6695190000000001,0.0
9,2,9,6.940707,5.741091,6.030407,5.794269,5.934627,6.030407,0.28931600000000035,0.289316,0.0
10,2,10,0.9103,0,0,0,0,0,0,0.401911,0.0
11,2,11,0.9103,0,0,0,0,0,0,0.6081030000000001,0.0
12,2,12,7.025909,5.721949,6.115609,5.5983,5.731713,6.115609,0.3936599999999997,0.517309,0.0
13,2,13,0.9103,0,0,0,0,0,0,0.454981,0.0
14,2,14,0.9103,0,0,0,0,0,0,0.44651900000000005,0.0
15,2,15,6.410719,5.449062,5.4918,5.500419,5.43492,5.500419,0.05135700000000032,0.065499,0.0
16,2,16,0.9103,0,0,0,0,0,0,0.32210900000000003,0.0
17,2,17,0.9103,0,0,0,0,0,0,0.16744,0.0
18,2,18,7.275491,6.160899,5.806779,6.365191,5.986414,6.365191,0.20429200000000058,0.558412,0.0
19,2,19,0.9103,0,0,0,0,0,0,0.19269,0.0
20,2,20,0.9103,0,0,0,0,0,0,0.178149,0.0
21,2,21,6.930233,5.90591,6.019933,5.474951,5.655613,6.019933,0.11402299999999954,0.5449820000000001,0.0
22,2,22,0.9103,0,0,0,0,0,0,0.273675,0.0
23,2,23,0.9103,0,0,0,0,0,0,0.245561,0.0
24,2,24,8.368616,7.458316,5.229635,5.623611,5.585304,7.458316,0.0,2.2286810000000004,0.0
25,2,25,0.9103,0,0,0,0,0,0,0.685556,0.0
26,2,26,0.9103,0,0,0,0,0,0,0.11296600000000001,0.0
27,2,27,4.838698,3.9142,3.803648,3.928398,3.813337,3.928398,0.014197999999999933,0.12475000000000001,0.0
28,2,28,0.9103,0,0,0,0,0,0,0.237186,0.0
29,2,29,0.9103,0,0,0,0,0,0,0.124074,0.0
30,2,30,6.929601,6.019301,5.95959,5.760565,5.848126,6.019301,0.0,0.258736,0.0
31,2,31,7.632661,1.041829,0,6.722361,0,6.722361,5.680532,7.83513,0.0
32,2,32,0.9103,0,0,0,0,0,0,0.6618700000000001,0.0
33,2,33,0.9103,0,0,0,0,0,0,0.29038800000000003,0.0
34,2,34,0.9103,0,0,0,0,0,0,0.39238300000000004,0.0
35,2,35,0.9103,0,0,0,0,0,0,0.2953,0.0
36,2,36,6.277835,5.367535,5.330626,5.086397,5.271321,5.367535,0.0,0.281138,0.0
37,2,37,0.9103,0,0,0,0,0,0,0.243157,0.0
38,2,38,0.9103,0,0,0,0,0,0,0.432062,0.0
39,2,39,7.020881,5.753402,6.042563,5.950491,6.110581,6.110581,0.35717899999999947,0.357179,0.0
40,2,40,4.108903,0,0,3.198603,0,3.198603,3.198603,4.4999210000000005,0.0
41,2,41,0.9103,0,0,0,0,0,0,0.23953000000000002,0.0
42,2,42,3.757573,2.247952,2.565188,2.847273,2.683872,2.847273,0.5993209999999998,0.599321,0.0
43,2,43,0.9103,0,0,0,0,0,0,0.7013360000000001,0.0
44,2,44,0.9103,0,0,0,0,0,0,0.5834590000000001,0.0
45,2,45,6.910983,6.000683,5.680023,5.536396,5.723412,6.000683,0.0,0.464287,0.0
46,2,46,0.9103,0,0,0,0,0,0,0.42825100000000005,0.0
47,2,47,0.9103,0,0,0,0,0,0,0.9464570000000001,0.0
