,Epoch,Index number,Start time_gpu0,Start time_gpu1,Start time_gpu2,Start time_gpu3,Fetch time (sec)_gpu0,Fetch time (sec)_gpu1,Fetch time (sec)_gpu2,Fetch time (sec)_gpu3,Fetch done time (sec)_gpu0,Fetch done time (sec)_gpu1,Fetch done time (sec)_gpu2,Fetch done time (sec)_gpu3
0,2,0,2021-08-19 14:46:38.580646,2021-08-19 14:46:38.583365,2021-08-19 14:46:38.584253,2021-08-19 14:46:38.586489,8.35956170357531,8.35956170357531,8.35956170357531,8.35956170357531,2021-08-19 14:46:46.940208,2021-08-19 14:46:46.942927,2021-08-19 14:46:46.943815,2021-08-19 14:46:46.946051
1,2,1,2021-08-19 14:46:38.580102,2021-08-19 14:46:38.582808,2021-08-19 14:46:38.584776,2021-08-19 14:46:38.585959,8.441588651505299,8.441588651505299,8.441588651505299,8.441588651505299,2021-08-19 14:46:47.021691,2021-08-19 14:46:47.024397,2021-08-19 14:46:47.026365,2021-08-19 14:46:47.027548
2,2,2,2021-08-19 14:46:38.580745,2021-08-19 14:46:38.583176,2021-08-19 14:46:38.585183,2021-08-19 14:46:38.585729,9.229041814047378,9.229041814047378,9.229041814047378,9.229041814047378,2021-08-19 14:46:47.809787,2021-08-19 14:46:47.812218,2021-08-19 14:46:47.814225,2021-08-19 14:46:47.814771
3,2,3,2021-08-19 14:46:47.040208,2021-08-19 14:46:47.042927,2021-08-19 14:46:47.043815,2021-08-19 14:46:47.046051,8.6224511283217,8.6224511283217,8.6224511283217,8.6224511283217,2021-08-19 14:46:55.662659,2021-08-19 14:46:55.665378,2021-08-19 14:46:55.666266,2021-08-19 14:46:55.668502
4,2,4,2021-08-19 14:46:47.121691,2021-08-19 14:46:47.124397,2021-08-19 14:46:47.126365,2021-08-19 14:46:47.127548,8.627907351532485,8.627907351532485,8.627907351532485,8.627907351532485,2021-08-19 14:46:55.749598,2021-08-19 14:46:55.752304,2021-08-19 14:46:55.754272,2021-08-19 14:46:55.755455
5,2,5,2021-08-19 14:46:47.909787,2021-08-19 14:46:47.912218,2021-08-19 14:46:47.914225,2021-08-19 14:46:47.914771,8.710592463554349,8.710592463554349,8.710592463554349,8.710592463554349,2021-08-19 14:46:56.620379,2021-08-19 14:46:56.622810,2021-08-19 14:46:56.624817,2021-08-19 14:46:56.625363
6,2,6,2021-08-19 14:46:55.762659,2021-08-19 14:46:55.765378,2021-08-19 14:46:55.766266,2021-08-19 14:46:55.768502,8.578709626977798,8.578709626977798,8.578709626977798,8.578709626977798,2021-08-19 14:47:04.341369,2021-08-19 14:47:04.344088,2021-08-19 14:47:04.344976,2021-08-19 14:47:04.347212
7,2,7,2021-08-19 14:46:55.849598,2021-08-19 14:46:55.852304,2021-08-19 14:46:55.854272,2021-08-19 14:46:55.855455,8.579657008463982,8.579657008463982,8.579657008463982,8.579657008463982,2021-08-19 14:47:04.429255,2021-08-19 14:47:04.431961,2021-08-19 14:47:04.433929,2021-08-19 14:47:04.435112
8,2,8,2021-08-19 14:46:56.720379,2021-08-19 14:46:56.722810,2021-08-19 14:46:56.724817,2021-08-19 14:46:56.725363,8.652018320222851,8.652018320222851,8.652018320222851,8.652018320222851,2021-08-19 14:47:05.372397,2021-08-19 14:47:05.374828,2021-08-19 14:47:05.376835,2021-08-19 14:47:05.377381
9,2,9,2021-08-19 14:47:04.441369,2021-08-19 14:47:04.444088,2021-08-19 14:47:04.444976,2021-08-19 14:47:04.447212,8.735593534540385,8.735593534540385,8.735593534540385,8.735593534540385,2021-08-19 14:47:13.176963,2021-08-19 14:47:13.179682,2021-08-19 14:47:13.180570,2021-08-19 14:47:13.182806
10,2,10,2021-08-19 14:47:04.529255,2021-08-19 14:47:04.531961,2021-08-19 14:47:04.533929,2021-08-19 14:47:04.535112,8.67142749147024,8.67142749147024,8.67142749147024,8.67142749147024,2021-08-19 14:47:13.200682,2021-08-19 14:47:13.203388,2021-08-19 14:47:13.205356,2021-08-19 14:47:13.206539
11,2,11,2021-08-19 14:47:05.472397,2021-08-19 14:47:05.474828,2021-08-19 14:47:05.476835,2021-08-19 14:47:05.477381,8.729887059016619,8.729887059016619,8.729887059016619,8.729887059016619,2021-08-19 14:47:14.202284,2021-08-19 14:47:14.204715,2021-08-19 14:47:14.206722,2021-08-19 14:47:14.207268
12,2,12,2021-08-19 14:47:13.276963,2021-08-19 14:47:13.279682,2021-08-19 14:47:13.280570,2021-08-19 14:47:13.282806,8.712108781503048,8.712108781503048,8.712108781503048,8.712108781503048,2021-08-19 14:47:21.989072,2021-08-19 14:47:21.991791,2021-08-19 14:47:21.992679,2021-08-19 14:47:21.994915
13,2,13,2021-08-19 14:47:13.300682,2021-08-19 14:47:13.303388,2021-08-19 14:47:13.305356,2021-08-19 14:47:13.306539,8.654479007003829,8.654479007003829,8.654479007003829,8.654479007003829,2021-08-19 14:47:21.955161,2021-08-19 14:47:21.957867,2021-08-19 14:47:21.959835,2021-08-19 14:47:21.961018
14,2,14,2021-08-19 14:47:14.302284,2021-08-19 14:47:14.304715,2021-08-19 14:47:14.306722,2021-08-19 14:47:14.307268,8.484289728279691,8.484289728279691,8.484289728279691,8.484289728279691,2021-08-19 14:47:22.786574,2021-08-19 14:47:22.789005,2021-08-19 14:47:22.791012,2021-08-19 14:47:22.791558
15,2,15,2021-08-19 14:47:22.089072,2021-08-19 14:47:22.091791,2021-08-19 14:47:22.092679,2021-08-19 14:47:22.094915,8.617259099439252,8.617259099439252,8.617259099439252,8.617259099439252,2021-08-19 14:47:30.706331,2021-08-19 14:47:30.709050,2021-08-19 14:47:30.709938,2021-08-19 14:47:30.712174
16,2,16,2021-08-19 14:47:22.055161,2021-08-19 14:47:22.057867,2021-08-19 14:47:22.059835,2021-08-19 14:47:22.061018,8.652142327511683,8.652142327511683,8.652142327511683,8.652142327511683,2021-08-19 14:47:30.707303,2021-08-19 14:47:30.710009,2021-08-19 14:47:30.711977,2021-08-19 14:47:30.713160
