,Epoch,Index number,Iteration time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3,Training stall time (sec),Delay time (sec),Batch fetch time diff (sec),Batch fetch start time diff (sec)
0,2,0,9.26956170357531,0,0,0,0,0,0,0.005843,0.005843
1,2,1,0.9103,0,0,0,0,0,0,0.005857,0.005857
2,2,2,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
3,2,3,6.902151,5.986008,5.988727,5.989615,5.991851,5.991851,0.0058429999999995985,0.005843,0.005843
4,2,4,0.9103,0,0,0,0,0,0,0.005857,0.005857
5,2,5,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
6,2,6,6.85811,5.941967,5.944686,5.945574,5.94781,5.94781,0.0058429999999995985,0.005843,0.005843
7,2,7,0.9103,0,0,0,0,0,0,0.005857,0.005857
8,2,8,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
9,2,9,7.014994,6.098851,6.10157,6.102458,6.104694,6.104694,0.005843000000000487,0.005843,0.005843
10,2,10,0.9103,0,0,0,0,0,0,0.005857,0.005857
11,2,11,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
12,2,12,6.991509,6.075366,6.078085,6.078973,6.081209,6.081209,0.005843000000000487,0.005843,0.005843
13,2,13,0.9103,0,0,0,0,0,0,0.005857,0.005857
14,2,14,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
15,2,15,6.896659,5.980516,5.983235,5.984123,5.986359,5.986359,0.005843000000000487,0.005843,0.005843
16,2,16,0.9103,0,0,0,0,0,0,0.005857,0.005857
17,2,17,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
18,2,18,7.05562,6.139477,6.142196,6.143084,6.14532,6.14532,0.0058429999999995985,0.005843,0.005843
19,2,19,0.9103,0,0,0,0,0,0,0.005857,0.005857
20,2,20,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
21,2,21,7.232813,6.31667,6.319389,6.320277,6.322513,6.322513,0.0058429999999995985,0.005843,0.005843
22,2,22,0.9103,0,0,0,0,0,0,0.005857,0.005857
23,2,23,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
24,2,24,7.429498,6.513355,6.516074,6.516962,6.519198,6.519198,0.005843000000000487,0.005843,0.005843
25,2,25,0.9103,0,0,0,0,0,0,0.005857,0.005857
26,2,26,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
27,2,27,7.003877,6.087734,6.090453,6.091341,6.093577,6.093577,0.0058429999999995985,0.005843,0.005843
28,2,28,0.9103,0,0,0,0,0,0,0.005857,0.005857
29,2,29,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
30,2,30,6.931945,6.015802,6.018521,6.019409,6.021645,6.021645,0.005843000000000487,0.005843,0.005843
31,2,31,1.923496,1.007339,1.010045,1.012013,1.013196,1.013196,0.005857000000000001,0.005857,0.005857
32,2,32,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
33,2,33,6.05827,5.142127,5.144846,5.145734,5.14797,5.14797,0.0058429999999995985,0.005843,0.005843
34,2,34,1.994343,1.078186,1.080892,1.08286,1.084043,1.084043,0.005857000000000001,0.005857,0.005857
35,2,35,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
36,2,36,6.065647,5.149504,5.152223,5.153111,5.155347,5.155347,0.0058429999999995985,0.005843,0.005843
37,2,37,1.990587,1.07443,1.077136,1.079104,1.080287,1.080287,0.005857000000000001,0.005857,0.005857
38,2,38,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
39,2,39,6.075411,5.159268,5.161987,5.162875,5.165111,5.165111,0.0058429999999995985,0.005843,0.005843
40,2,40,2.910071,1.993914,1.99662,1.998588,1.999771,1.999771,0.005857000000000001,0.005857,0.005857
41,2,41,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
42,2,42,5.052382,4.136239,4.138958,4.139846,4.142082,4.142082,0.005843000000000487,0.005843,0.005843
43,2,43,3.220989,2.304832,2.307538,2.309506,2.310689,2.310689,0.005856999999999779,0.005857,0.005857
44,2,44,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
45,2,45,4.934061,4.017918,4.020637,4.021525,4.023761,4.023761,0.005843000000000487,0.005843,0.005843
46,2,46,3.096829,2.180672,2.183378,2.185346,2.186529,2.186529,0.005857000000000223,0.005857,0.005857
47,2,47,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
48,2,48,5.052902,4.136759,4.139478,4.140366,4.142602,4.142602,0.005843000000000487,0.005843,0.005843
49,2,49,3.194279,2.278122,2.280828,2.282796,2.283979,2.283979,0.005856999999999779,0.005857,0.005857
50,2,50,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
51,2,51,4.973124,4.056981,4.0597,4.060588,4.062824,4.062824,0.0058429999999995985,0.005843,0.005843
52,2,52,3.197209,2.281052,2.283758,2.285726,2.286909,2.286909,0.005857000000000223,0.005857,0.005857
53,2,53,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
54,2,54,5.074526,4.158383,4.161102,4.16199,4.164226,4.164226,0.005843000000000487,0.005843,0.005843
55,2,55,3.121021,2.204864,2.20757,2.209538,2.210721,2.210721,0.005856999999999779,0.005857,0.005857
56,2,56,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
57,2,57,4.952153,4.03601,4.038729,4.039617,4.041853,4.041853,0.0058429999999995985,0.005843,0.005843
58,2,58,3.587915,2.671758,2.674464,2.676432,2.677615,2.677615,0.005856999999999779,0.005857,0.005857
59,2,59,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
60,2,60,4.730945,3.814802,3.817521,3.818409,3.820645,3.820645,0.005843000000000043,0.005843,0.005843
61,2,61,3.476773,2.560616,2.563322,2.56529,2.566473,2.566473,0.005856999999999779,0.005857,0.005857
62,2,62,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
63,2,63,4.593077,3.676934,3.679653,3.680541,3.682777,3.682777,0.005843000000000043,0.005843,0.005843
64,2,64,4.387816,3.471659,3.474365,3.476333,3.477516,3.477516,0.005857000000000223,0.005857,0.005857
65,2,65,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
66,2,66,3.512537,2.596394,2.599113,2.600001,2.602237,2.602237,0.005843000000000043,0.005843,0.005843
67,2,67,4.473149,3.556992,3.559698,3.561666,3.562849,3.562849,0.005856999999999779,0.005857,0.005857
68,2,68,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
69,2,69,3.756788,2.840645,2.843364,2.844252,2.846488,2.846488,0.005843000000000043,0.005843,0.005843
70,2,70,4.397773,3.481616,3.484322,3.48629,3.487473,3.487473,0.005857000000000223,0.005857,0.005857
71,2,71,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
72,2,72,3.834356,2.918213,2.920932,2.92182,2.924056,2.924056,0.005843000000000043,0.005843,0.005843
73,2,73,4.201515,3.285358,3.288064,3.290032,3.291215,3.291215,0.005856999999999779,0.005857,0.005857
74,2,74,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
75,2,75,3.791967,2.875824,2.878543,2.879431,2.881667,2.881667,0.005843000000000043,0.005843,0.005843
76,2,76,5.009295,4.093138,4.095844,4.097812,4.098995,4.098995,0.005857000000000667,0.005857,0.005857
77,2,77,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
78,2,78,3.149694,2.233551,2.23627,2.237158,2.239394,2.239394,0.005843000000000043,0.005843,0.005843
79,2,79,6.832053,5.915896,5.918602,5.92057,5.921753,5.921753,0.005856999999999779,0.005857,0.005857
80,2,80,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
81,2,81,1.132054,0.215911,0.21863,0.219518,0.221754,0.221754,0.005843000000000015,0.005843,0.005843
82,2,82,6.585229,5.669072,5.671778,5.673746,5.674929,5.674929,0.005856999999999779,0.005857,0.005857
83,2,83,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
84,2,84,1.435563,0.51942,0.522139,0.523027,0.525263,0.525263,0.005843000000000043,0.005843,0.005843
85,2,85,6.13685,5.220693,5.223399,5.225367,5.22655,5.22655,0.005856999999999779,0.005857,0.005857
86,2,86,0.9103,0,0,0,0,0,0,0.0,0.0
87,2,87,1.871323,0.95518,0.957899,0.958787,0.961023,0.961023,0.005842999999999932,0.005843,0.005843
88,2,88,6.122415,5.206258,5.208964,5.210932,5.212115,5.212115,0.005856999999999779,0.005857,0.005857
89,2,89,0.9103,0,0,0,0,0,0,0.0,0.0
