,Slowest end time,Training end time,Delay time (sec),Training stall time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3
1,2021-08-19 14:46:46.940208,2021-08-19 14:46:47.850208,0,0,0,0,0,0
2,2021-08-19 14:46:47.021691,2021-08-19 14:46:48.760508,0,0,0,0,0,0
3,2021-08-19 14:46:47.809787,2021-08-19 14:46:49.670808,0,0,0,0,0,0
4,2021-08-19 14:46:55.662659,2021-08-19 14:46:56.572959,0.0,5.991851,5.991851,5.991851,5.991851,5.991851
5,2021-08-19 14:46:55.749598,2021-08-19 14:46:57.483259,0,0,0,0,0,0
6,2021-08-19 14:46:56.620379,2021-08-19 14:46:58.393559,0,0,0,0,0,0
7,2021-08-19 14:47:04.341369,2021-08-19 14:47:05.251669,0.0,5.94781,5.94781,5.94781,5.94781,5.94781
8,2021-08-19 14:47:04.429255,2021-08-19 14:47:06.161969,0,0,0,0,0,0
9,2021-08-19 14:47:05.372397,2021-08-19 14:47:07.072269,0,0,0,0,0,0
10,2021-08-19 14:47:13.176963,2021-08-19 14:47:14.087263,0.0,6.104694,6.104694,6.104694,6.104694,6.104694
11,2021-08-19 14:47:13.200682,2021-08-19 14:47:14.997563,0,0,0,0,0,0
12,2021-08-19 14:47:14.202284,2021-08-19 14:47:15.907863,0,0,0,0,0,0
13,2021-08-19 14:47:21.989072,2021-08-19 14:47:22.899372,0.0,6.081209,6.081209,6.081209,6.081209,6.081209
14,2021-08-19 14:47:21.955161,2021-08-19 14:47:23.809672,0,0,0,0,0,0
15,2021-08-19 14:47:22.786574,2021-08-19 14:47:24.719972,0,0,0,0,0,0
16,2021-08-19 14:47:30.706331,2021-08-19 14:47:31.616631,0.0,5.986359,5.986359,5.986359,5.986359,5.986359
17,2021-08-19 14:47:30.707303,2021-08-19 14:47:32.526931,0,0,0,0,0,0
18,2021-08-19 14:47:31.502440,2021-08-19 14:47:33.437231,0,0,0,0,0,0
19,2021-08-19 14:47:39.582551,2021-08-19 14:47:40.492851,0.0,6.14532,6.14532,6.14532,6.14532,6.14532
20,2021-08-19 14:47:39.583361,2021-08-19 14:47:41.403151,0,0,0,0,0,0
21,2021-08-19 14:47:40.161785,2021-08-19 14:47:42.313451,0,0,0,0,0,0
