,Epoch,Index number,Iteration time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3,Training stall time (sec),Delay time (sec),Batch fetch time diff (sec),Batch fetch start time diff (sec)
0,2,0,9.26956170357531,0,0,0,0,0,0,0.0,0.0
1,2,1,0.9103,0,0,0,0,0,0,0.0,0.0
2,2,2,0.9103,0,0,0,0,0,0,0.0,0.0
3,2,3,6.902151,5.991851,5.991851,5.991851,5.991851,5.991851,0.0,0.0,0.0
4,2,4,0.9103,0,0,0,0,0,0,0.0,0.0
5,2,5,0.9103,0,0,0,0,0,0,0.0,0.0
6,2,6,6.85811,5.94781,5.94781,5.94781,5.94781,5.94781,0.0,0.0,0.0
7,2,7,0.9103,0,0,0,0,0,0,0.0,0.0
8,2,8,0.9103,0,0,0,0,0,0,0.0,0.0
9,2,9,7.014994,6.104694,6.104694,6.104694,6.104694,6.104694,0.0,0.0,0.0
10,2,10,0.9103,0,0,0,0,0,0,0.0,0.0
11,2,11,0.9103,0,0,0,0,0,0,0.0,0.0
12,2,12,6.991509,6.081209,6.081209,6.081209,6.081209,6.081209,0.0,0.0,0.0
13,2,13,0.9103,0,0,0,0,0,0,0.0,0.0
14,2,14,0.9103,0,0,0,0,0,0,0.0,0.0
15,2,15,6.896659,5.986359,5.986359,5.986359,5.986359,5.986359,0.0,0.0,0.0
16,2,16,0.9103,0,0,0,0,0,0,0.0,0.0
17,2,17,0.9103,0,0,0,0,0,0,0.0,0.0
18,2,18,7.05562,6.14532,6.14532,6.14532,6.14532,6.14532,0.0,0.0,0.0
19,2,19,0.9103,0,0,0,0,0,0,0.0,0.0
20,2,20,0.9103,0,0,0,0,0,0,0.0,0.0
21,2,21,7.232813,6.322513,6.322513,6.322513,6.322513,6.322513,0.0,0.0,0.0
22,2,22,0.9103,0,0,0,0,0,0,0.0,0.0
23,2,23,0.9103,0,0,0,0,0,0,0.0,0.0
24,2,24,7.429498,6.519198,6.519198,6.519198,6.519198,6.519198,0.0,0.0,0.0
25,2,25,0.9103,0,0,0,0,0,0,0.0,0.0
26,2,26,0.9103,0,0,0,0,0,0,0.0,0.0
27,2,27,7.003877,6.093577,6.093577,6.093577,6.093577,6.093577,0.0,0.0,0.0
28,2,28,0.9103,0,0,0,0,0,0,0.0,0.0
29,2,29,0.9103,0,0,0,0,0,0,0.0,0.0
30,2,30,6.931945,6.021645,6.021645,6.021645,6.021645,6.021645,0.0,0.0,0.0
31,2,31,1.923482,1.013182,1.013182,1.013182,1.013182,1.013182,0.0,0.0,0.0
32,2,32,0.9103,0,0,0,0,0,0,0.0,0.0
33,2,33,6.058284,5.147984,5.147984,5.147984,5.147984,5.147984,0.0,0.0,0.0
34,2,34,1.994329,1.084029,1.084029,1.084029,1.084029,1.084029,0.0,0.0,0.0
35,2,35,0.9103,0,0,0,0,0,0,0.0,0.0
36,2,36,6.065661,5.155361,5.155361,5.155361,5.155361,5.155361,0.0,0.0,0.0
37,2,37,1.990573,1.080273,1.080273,1.080273,1.080273,1.080273,0.0,0.0,0.0
38,2,38,0.9103,0,0,0,0,0,0,0.0,0.0
39,2,39,6.075425,5.165125,5.165125,5.165125,5.165125,5.165125,0.0,0.0,0.0
40,2,40,2.910057,1.999757,1.999757,1.999757,1.999757,1.999757,0.0,0.0,0.0
41,2,41,0.9103,0,0,0,0,0,0,0.0,0.0
42,2,42,5.052396,4.142096,4.142096,4.142096,4.142096,4.142096,0.0,0.0,0.0
43,2,43,3.220975,2.310675,2.310675,2.310675,2.310675,2.310675,0.0,0.0,0.0
44,2,44,0.9103,0,0,0,0,0,0,0.0,0.0
45,2,45,4.934075,4.023775,4.023775,4.023775,4.023775,4.023775,0.0,0.0,0.0
46,2,46,3.096815,2.186515,2.186515,2.186515,2.186515,2.186515,0.0,0.0,0.0
47,2,47,0.9103,0,0,0,0,0,0,0.0,0.0
48,2,48,5.052916,4.142616,4.142616,4.142616,4.142616,4.142616,0.0,0.0,0.0
49,2,49,3.194265,2.283965,2.283965,2.283965,2.283965,2.283965,0.0,0.0,0.0
50,2,50,0.9103,0,0,0,0,0,0,0.0,0.0
51,2,51,4.973138,4.062838,4.062838,4.062838,4.062838,4.062838,0.0,0.0,0.0
52,2,52,3.197195,2.286895,2.286895,2.286895,2.286895,2.286895,0.0,0.0,0.0
53,2,53,0.9103,0,0,0,0,0,0,0.0,0.0
54,2,54,5.07454,4.16424,4.16424,4.16424,4.16424,4.16424,0.0,0.0,0.0
55,2,55,3.121007,2.210707,2.210707,2.210707,2.210707,2.210707,0.0,0.0,0.0
56,2,56,0.9103,0,0,0,0,0,0,0.0,0.0
57,2,57,4.952167,4.041867,4.041867,4.041867,4.041867,4.041867,0.0,0.0,0.0
58,2,58,3.587901,2.677601,2.677601,2.677601,2.677601,2.677601,0.0,0.0,0.0
59,2,59,0.9103,0,0,0,0,0,0,0.0,0.0
60,2,60,4.730959,3.820659,3.820659,3.820659,3.820659,3.820659,0.0,0.0,0.0
61,2,61,3.476759,2.566459,2.566459,2.566459,2.566459,2.566459,0.0,0.0,0.0
62,2,62,0.9103,0,0,0,0,0,0,0.0,0.0
63,2,63,4.593091,3.682791,3.682791,3.682791,3.682791,3.682791,0.0,0.0,0.0
64,2,64,4.387802,3.477502,3.477502,3.477502,3.477502,3.477502,0.0,0.0,0.0
65,2,65,0.9103,0,0,0,0,0,0,0.0,0.0
