,Slowest end time,Training end time,Delay time (sec),Training stall time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3
1,2021-08-19 14:46:46.704843,2021-08-19 14:46:47.614843,0,0,0,0,0,0
2,2021-08-19 14:46:46.818151,2021-08-19 14:46:48.525143,0,0,0,0,0,0
3,2021-08-19 14:46:46.675000,2021-08-19 14:46:49.435443,0,0,0,0,0,0
4,2021-08-19 14:46:55.291423,2021-08-19 14:46:56.201723,0.0058429999999995985,5.85598,5.850137,5.852856,5.853744,5.85598
5,2021-08-19 14:46:55.357888,2021-08-19 14:46:57.112023,0,0,0,0,0,0
6,2021-08-19 14:46:55.095017,2021-08-19 14:46:58.022323,0,0,0,0,0,0
7,2021-08-19 14:47:03.817568,2021-08-19 14:47:04.727868,0.005843000000000487,5.795245,5.789402,5.792121,5.793009,5.795245
8,2021-08-19 14:47:03.836698,2021-08-19 14:47:05.638168,0,0,0,0,0,0
9,2021-08-19 14:47:03.467427,2021-08-19 14:47:06.548468,0,0,0,0,0,0
10,2021-08-19 14:47:12.519154,2021-08-19 14:47:13.429454,0.0058429999999995985,5.970686,5.964843,5.967562,5.96845,5.970686
11,2021-08-19 14:47:12.482050,2021-08-19 14:47:14.339754,0,0,0,0,0,0
12,2021-08-19 14:47:12.054005,2021-08-19 14:47:15.250054,0,0,0,0,0,0
13,2021-08-19 14:47:21.137670,2021-08-19 14:47:22.047970,0.005843000000000487,5.887616,5.881773,5.884492,5.88538,5.887616
14,2021-08-19 14:47:20.984397,2021-08-19 14:47:22.958270,0,0,0,0,0,0
15,2021-08-19 14:47:20.418535,2021-08-19 14:47:23.868570,0,0,0,0,0,0
16,2021-08-19 14:47:29.820799,2021-08-19 14:47:30.731099,0.0058429999999995985,5.952229,5.946386,5.949105,5.949993,5.952229
17,2021-08-19 14:47:29.606206,2021-08-19 14:47:31.641399,0,0,0,0,0,0
18,2021-08-19 14:47:29.022543,2021-08-19 14:47:32.551699,0,0,0,0,0,0
19,2021-08-19 14:47:38.423977,2021-08-19 14:47:39.334277,0.0058429999999995985,5.872278,5.866435,5.869154,5.870042,5.872278
20,2021-08-19 14:47:38.380251,2021-08-19 14:47:40.244577,0,0,0,0,0,0
21,2021-08-19 14:47:37.578811,2021-08-19 14:47:41.154877,0,0,0,0,0,0
22,2021-08-19 14:47:47.188240,2021-08-19 14:47:48.098540,0.0058429999999995985,6.033363,6.02752,6.030239,6.031127,6.033363
23,2021-08-19 14:47:47.190461,2021-08-19 14:47:49.008840,0,0,0,0,0,0
24,2021-08-19 14:47:46.142806,2021-08-19 14:47:49.919140,0,0,0,0,0,0
25,2021-08-19 14:47:55.693757,2021-08-19 14:47:56.604057,0.005843000000000487,5.774617,5.768774,5.771493,5.772381,5.774617
26,2021-08-19 14:47:55.813253,2021-08-19 14:47:57.514357,0,0,0,0,0,0
27,2021-08-19 14:47:54.834273,2021-08-19 14:47:58.424657,0,0,0,0,0,0
28,2021-08-19 14:48:04.456986,2021-08-19 14:48:05.367286,0.0058429999999995985,6.032329,6.026486,6.029205,6.030093,6.032329
29,2021-08-19 14:48:04.665893,2021-08-19 14:48:06.277586,0,0,0,0,0,0
30,2021-08-19 14:48:03.482094,2021-08-19 14:48:07.187886,0,0,0,0,0,0
31,2021-08-19 14:48:13.073201,2021-08-19 14:48:13.983501,0.005843000000000487,5.885315,5.879472,5.882191,5.883079,5.885315
32,2021-08-19 14:48:13.129482,2021-08-19 14:48:14.893801,0,0,0,0,0,0
33,2021-08-19 14:48:11.900256,2021-08-19 14:48:15.804101,0,0,0,0,0,0
34,2021-08-19 14:48:21.809778,2021-08-19 14:48:22.720078,0.005843000000000487,6.005677,5.999834,6.002553,6.003441,6.005677
