,Epoch,Index number,Iteration time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3,Training stall time (sec),Delay time (sec),Batch fetch time diff (sec),Batch fetch start time diff (sec)
0,2,0,9.028354209000245,0,0,0,0,0,0,0.005843,0.005843
1,2,1,0.9103,0,0,0,0,0,0,0.005857,0.005857
2,2,2,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
3,2,3,6.76628,5.850137,5.852856,5.853744,5.85598,5.85598,0.0058429999999995985,0.005843,0.005843
4,2,4,0.9103,0,0,0,0,0,0,0.005857,0.005857
5,2,5,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
6,2,6,6.705545,5.789402,5.792121,5.793009,5.795245,5.795245,0.005843000000000487,0.005843,0.005843
7,2,7,0.9103,0,0,0,0,0,0,0.005857,0.005857
8,2,8,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
9,2,9,6.880986,5.964843,5.967562,5.96845,5.970686,5.970686,0.0058429999999995985,0.005843,0.005843
10,2,10,0.9103,0,0,0,0,0,0,0.005857,0.005857
11,2,11,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
12,2,12,6.797916,5.881773,5.884492,5.88538,5.887616,5.887616,0.005843000000000487,0.005843,0.005843
13,2,13,0.9103,0,0,0,0,0,0,0.005857,0.005857
14,2,14,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
15,2,15,6.862529,5.946386,5.949105,5.949993,5.952229,5.952229,0.0058429999999995985,0.005843,0.005843
16,2,16,0.9103,0,0,0,0,0,0,0.005857,0.005857
17,2,17,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
18,2,18,6.782578,5.866435,5.869154,5.870042,5.872278,5.872278,0.0058429999999995985,0.005843,0.005843
19,2,19,0.9103,0,0,0,0,0,0,0.005857,0.005857
20,2,20,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
21,2,21,6.943663,6.02752,6.030239,6.031127,6.033363,6.033363,0.0058429999999995985,0.005843,0.005843
22,2,22,0.9103,0,0,0,0,0,0,0.005857,0.005857
23,2,23,0.9103,0,0,0,0,0,0,0.004984000000000001,0.004984000000000001
