,Epoch,Index number,Start time_gpu0,Start time_gpu1,Start time_gpu2,Start time_gpu3,Fetch time (sec)_gpu0,Fetch time (sec)_gpu1,Fetch time (sec)_gpu2,Fetch time (sec)_gpu3,Fetch done time (sec)_gpu0,Fetch done time (sec)_gpu1,Fetch done time (sec)_gpu2,Fetch done time (sec)_gpu3
0,2,0,2021-08-19 14:46:38.580646,2021-08-19 14:46:38.580646,2021-08-19 14:46:38.580646,2021-08-19 14:46:38.580646,8.118354209000245,8.118354209000245,8.118354209000245,8.118354209000245,2021-08-19 14:46:46.699000,2021-08-19 14:46:46.699000,2021-08-19 14:46:46.699000,2021-08-19 14:46:46.699000
1,2,1,2021-08-19 14:46:38.580102,2021-08-19 14:46:38.580102,2021-08-19 14:46:38.580102,2021-08-19 14:46:38.580102,8.232192096067593,8.232192096067593,8.232192096067593,8.232192096067593,2021-08-19 14:46:46.812294,2021-08-19 14:46:46.812294,2021-08-19 14:46:46.812294,2021-08-19 14:46:46.812294
2,2,2,2021-08-19 14:46:38.580745,2021-08-19 14:46:38.580745,2021-08-19 14:46:38.580745,2021-08-19 14:46:38.580745,8.089270828990266,8.089270828990266,8.089270828990266,8.089270828990266,2021-08-19 14:46:46.670016,2021-08-19 14:46:46.670016,2021-08-19 14:46:46.670016,2021-08-19 14:46:46.670016
3,2,3,2021-08-19 14:46:46.799000,2021-08-19 14:46:46.799000,2021-08-19 14:46:46.799000,2021-08-19 14:46:46.799000,8.486580440076068,8.486580440076068,8.486580440076068,8.486580440076068,2021-08-19 14:46:55.285580,2021-08-19 14:46:55.285580,2021-08-19 14:46:55.285580,2021-08-19 14:46:55.285580
4,2,4,2021-08-19 14:46:46.912294,2021-08-19 14:46:46.912294,2021-08-19 14:46:46.912294,2021-08-19 14:46:46.912294,8.43973717209883,8.43973717209883,8.43973717209883,8.43973717209883,2021-08-19 14:46:55.352031,2021-08-19 14:46:55.352031,2021-08-19 14:46:55.352031,2021-08-19 14:46:55.352031
5,2,5,2021-08-19 14:46:46.770016,2021-08-19 14:46:46.770016,2021-08-19 14:46:46.770016,2021-08-19 14:46:46.770016,8.320016992045566,8.320016992045566,8.320016992045566,8.320016992045566,2021-08-19 14:46:55.090033,2021-08-19 14:46:55.090033,2021-08-19 14:46:55.090033,2021-08-19 14:46:55.090033
6,2,6,2021-08-19 14:46:55.385580,2021-08-19 14:46:55.385580,2021-08-19 14:46:55.385580,2021-08-19 14:46:55.385580,8.426145169883966,8.426145169883966,8.426145169883966,8.426145169883966,2021-08-19 14:47:03.811725,2021-08-19 14:47:03.811725,2021-08-19 14:47:03.811725,2021-08-19 14:47:03.811725
7,2,7,2021-08-19 14:46:55.452031,2021-08-19 14:46:55.452031,2021-08-19 14:46:55.452031,2021-08-19 14:46:55.452031,8.378810349851847,8.378810349851847,8.378810349851847,8.378810349851847,2021-08-19 14:47:03.830841,2021-08-19 14:47:03.830841,2021-08-19 14:47:03.830841,2021-08-19 14:47:03.830841
8,2,8,2021-08-19 14:46:55.190033,2021-08-19 14:46:55.190033,2021-08-19 14:46:55.190033,2021-08-19 14:46:55.190033,8.272410158067942,8.272410158067942,8.272410158067942,8.272410158067942,2021-08-19 14:47:03.462443,2021-08-19 14:47:03.462443,2021-08-19 14:47:03.462443,2021-08-19 14:47:03.462443
9,2,9,2021-08-19 14:47:03.911725,2021-08-19 14:47:03.911725,2021-08-19 14:47:03.911725,2021-08-19 14:47:03.911725,8.601585605181754,8.601585605181754,8.601585605181754,8.601585605181754,2021-08-19 14:47:12.513311,2021-08-19 14:47:12.513311,2021-08-19 14:47:12.513311,2021-08-19 14:47:12.513311
