,Slowest end time,Training end time,Delay time (sec),Training stall time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3
1,2021-08-19 14:46:46.699000,2021-08-19 14:46:47.609000,0,0,0,0,0,0
2,2021-08-19 14:46:46.812294,2021-08-19 14:46:48.519300,0,0,0,0,0,0
3,2021-08-19 14:46:46.670016,2021-08-19 14:46:49.429600,0,0,0,0,0,0
4,2021-08-19 14:46:55.285580,2021-08-19 14:46:56.195880,0.0,5.85598,5.85598,5.85598,5.85598,5.85598
5,2021-08-19 14:46:55.352031,2021-08-19 14:46:57.106180,0,0,0,0,0,0
6,2021-08-19 14:46:55.090033,2021-08-19 14:46:58.016480,0,0,0,0,0,0
7,2021-08-19 14:47:03.811725,2021-08-19 14:47:04.722025,0.0,5.795245,5.795245,5.795245,5.795245,5.795245
8,2021-08-19 14:47:03.830841,2021-08-19 14:47:05.632325,0,0,0,0,0,0
9,2021-08-19 14:47:03.462443,2021-08-19 14:47:06.542625,0,0,0,0,0,0
10,2021-08-19 14:47:12.513311,2021-08-19 14:47:13.423611,0.0,5.970686,5.970686,5.970686,5.970686,5.970686
11,2021-08-19 14:47:12.476193,2021-08-19 14:47:14.333911,0,0,0,0,0,0
12,2021-08-19 14:47:12.049021,2021-08-19 14:47:15.244211,0,0,0,0,0,0
13,2021-08-19 14:47:21.131827,2021-08-19 14:47:22.042127,0.0,5.887616,5.887616,5.887616,5.887616,5.887616
14,2021-08-19 14:47:20.978540,2021-08-19 14:47:22.952427,0,0,0,0,0,0
15,2021-08-19 14:47:20.413551,2021-08-19 14:47:23.862727,0,0,0,0,0,0
16,2021-08-19 14:47:29.814956,2021-08-19 14:47:30.725256,0.0,5.952229,5.952229,5.952229,5.952229,5.952229
17,2021-08-19 14:47:29.600349,2021-08-19 14:47:31.635556,0,0,0,0,0,0
18,2021-08-19 14:47:29.017559,2021-08-19 14:47:32.545856,0,0,0,0,0,0
19,2021-08-19 14:47:38.418134,2021-08-19 14:47:39.328434,0.0,5.872278,5.872278,5.872278,5.872278,5.872278
20,2021-08-19 14:47:38.374394,2021-08-19 14:47:40.238734,0,0,0,0,0,0
21,2021-08-19 14:47:37.573827,2021-08-19 14:47:41.149034,0,0,0,0,0,0
22,2021-08-19 14:47:47.182397,2021-08-19 14:47:48.092697,0.0,6.033363,6.033363,6.033363,6.033363,6.033363
23,2021-08-19 14:47:47.184604,2021-08-19 14:47:49.002997,0,0,0,0,0,0
24,2021-08-19 14:47:46.137822,2021-08-19 14:47:49.913297,0,0,0,0,0,0
25,2021-08-19 14:47:55.687914,2021-08-19 14:47:56.598214,0.0,5.774617,5.774617,5.774617,5.774617,5.774617
26,2021-08-19 14:47:55.807396,2021-08-19 14:47:57.508514,0,0,0,0,0,0
27,2021-08-19 14:47:54.829289,2021-08-19 14:47:58.418814,0,0,0,0,0,0
28,2021-08-19 14:48:04.451143,2021-08-19 14:48:05.361443,0.0,6.032329,6.032329,6.032329,6.032329,6.032329
29,2021-08-19 14:48:04.660036,2021-08-19 14:48:06.271743,0,0,0,0,0,0
30,2021-08-19 14:48:03.477110,2021-08-19 14:48:07.182043,0,0,0,0,0,0
31,2021-08-19 14:48:13.067358,2021-08-19 14:48:13.977658,0.0,5.885315,5.885315,5.885315,5.885315,5.885315
32,2021-08-19 14:48:13.123625,2021-08-19 14:48:14.887958,0,0,0,0,0,0
33,2021-08-19 14:48:11.895272,2021-08-19 14:48:15.798258,0,0,0,0,0,0
34,2021-08-19 14:48:21.803935,2021-08-19 14:48:22.714235,0.0,6.005677,6.005677,6.005677,6.005677,6.005677
35,2021-08-19 14:48:21.886153,2021-08-19 14:48:23.624535,0,0,0,0,0,0
36,2021-08-19 14:48:20.668613,2021-08-19 14:48:24.534835,0,0,0,0,0,0
37,2021-08-19 14:48:30.596652,2021-08-19 14:48:31.506952,0.0,6.061817,6.061817,6.061817,6.061817,6.061817
38,2021-08-19 14:48:30.697094,2021-08-19 14:48:32.417252,0,0,0,0,0,0
39,2021-08-19 14:48:29.277876,2021-08-19 14:48:33.327552,0,0,0,0,0,0
40,2021-08-19 14:48:39.362092,2021-08-19 14:48:40.272392,0.0,6.03454,6.03454,6.03454,6.03454,6.03454
41,2021-08-19 14:48:39.328253,2021-08-19 14:48:41.182692,0,0,0,0,0,0
42,2021-08-19 14:48:38.003275,2021-08-19 14:48:42.092992,0,0,0,0,0,0
43,2021-08-19 14:48:47.896726,2021-08-19 14:48:48.807026,0.0,5.803734,5.803734,5.803734,5.803734,5.803734
44,2021-08-19 14:48:48.123249,2021-08-19 14:48:49.717326,0,0,0,0,0,0
45,2021-08-19 14:48:46.593343,2021-08-19 14:48:50.627626,0,0,0,0,0,0
46,2021-08-19 14:48:56.763343,2021-08-19 14:48:57.673643,0.0,6.135717,6.135717,6.135717,6.135717,6.135717
47,2021-08-19 14:48:56.784251,2021-08-19 14:48:58.583943,0,0,0,0,0,0
48,2021-08-19 14:48:55.200068,2021-08-19 14:48:59.494243,0,0,0,0,0,0
49,2021-08-19 14:49:05.582054,2021-08-19 14:49:06.492354,0.0,6.087811,6.087811,6.087811,6.087811,6.087811
50,2021-08-19 14:49:05.577970,2021-08-19 14:49:07.402654,0,0,0,0,0,0
