,Epoch,Index number,Iteration time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3,Training stall time (sec),Delay time (sec),Batch fetch time diff (sec),Batch fetch start time diff (sec)
0,2,0,9.028354209000245,0,0,0,0,0,0,0.0,0.0
1,2,1,0.9103,0,0,0,0,0,0,0.0,0.0
2,2,2,0.9103,0,0,0,0,0,0,0.0,0.0
3,2,3,6.76628,5.85598,5.85598,5.85598,5.85598,5.85598,0.0,0.0,0.0
4,2,4,0.9103,0,0,0,0,0,0,0.0,0.0
5,2,5,0.9103,0,0,0,0,0,0,0.0,0.0
6,2,6,6.705545,5.795245,5.795245,5.795245,5.795245,5.795245,0.0,0.0,0.0
7,2,7,0.9103,0,0,0,0,0,0,0.0,0.0
8,2,8,0.9103,0,0,0,0,0,0,0.0,0.0
9,2,9,6.880986,5.970686,5.970686,5.970686,5.970686,5.970686,0.0,0.0,0.0
10,2,10,0.9103,0,0,0,0,0,0,0.0,0.0
11,2,11,0.9103,0,0,0,0,0,0,0.0,0.0
12,2,12,6.797916,5.887616,5.887616,5.887616,5.887616,5.887616,0.0,0.0,0.0
13,2,13,0.9103,0,0,0,0,0,0,0.0,0.0
14,2,14,0.9103,0,0,0,0,0,0,0.0,0.0
15,2,15,6.862529,5.952229,5.952229,5.952229,5.952229,5.952229,0.0,0.0,0.0
16,2,16,0.9103,0,0,0,0,0,0,0.0,0.0
17,2,17,0.9103,0,0,0,0,0,0,0.0,0.0
18,2,18,6.782578,5.872278,5.872278,5.872278,5.872278,5.872278,0.0,0.0,0.0
19,2,19,0.9103,0,0,0,0,0,0,0.0,0.0
20,2,20,0.9103,0,0,0,0,0,0,0.0,0.0
21,2,21,6.943663,6.033363,6.033363,6.033363,6.033363,6.033363,0.0,0.0,0.0
22,2,22,0.9103,0,0,0,0,0,0,0.0,0.0
23,2,23,0.9103,0,0,0,0,0,0,0.0,0.0
24,2,24,6.684917,5.774617,5.774617,5.774617,5.774617,5.774617,0.0,0.0,0.0
25,2,25,0.9103,0,0,0,0,0,0,0.0,0.0
26,2,26,0.9103,0,0,0,0,0,0,0.0,0.0
27,2,27,6.942629,6.032329,6.032329,6.032329,6.032329,6.032329,0.0,0.0,0.0
28,2,28,0.9103,0,0,0,0,0,0,0.0,0.0
29,2,29,0.9103,0,0,0,0,0,0,0.0,0.0
30,2,30,6.795615,5.885315,5.885315,5.885315,5.885315,5.885315,0.0,0.0,0.0
31,2,31,0.9103,0,0,0,0,0,0,0.0,0.0
32,2,32,0.9103,0,0,0,0,0,0,0.0,0.0
33,2,33,6.915977,6.005677,6.005677,6.005677,6.005677,6.005677,0.0,0.0,0.0
34,2,34,0.9103,0,0,0,0,0,0,0.0,0.0
35,2,35,0.9103,0,0,0,0,0,0,0.0,0.0
36,2,36,6.972117,6.061817,6.061817,6.061817,6.061817,6.061817,0.0,0.0,0.0
37,2,37,0.9103,0,0,0,0,0,0,0.0,0.0
38,2,38,0.9103,0,0,0,0,0,0,0.0,0.0
39,2,39,6.94484,6.03454,6.03454,6.03454,6.03454,6.03454,0.0,0.0,0.0
40,2,40,0.9103,0,0,0,0,0,0,0.0,0.0
