,Epoch,Index number,Start time_gpu0,Start time_gpu1,Start time_gpu2,Start time_gpu3,Fetch time (sec)_gpu0,Fetch time (sec)_gpu1,Fetch time (sec)_gpu2,Fetch time (sec)_gpu3,Fetch done time (sec)_gpu0,Fetch done time (sec)_gpu1,Fetch done time (sec)_gpu2,Fetch done time (sec)_gpu3
0,1,0,2021-09-01 19:48:46.728082000,2021-09-01 19:48:46.722174000,2021-09-01 19:48:46.727364000,2021-09-01 19:48:46.727068000,8.112918319180608,8.386825756635517,8.08763575926423,8.168931750115007,2021-09-01 19:48:54.841000319,2021-09-01 19:48:55.108999757,2021-09-01 19:48:54.814999759,2021-09-01 19:48:54.895999750
1,1,1,2021-09-01 19:48:46.727509000,2021-09-01 19:48:46.722159000,2021-09-01 19:48:46.727725000,2021-09-01 19:48:46.727194000,8.426491051912308,8.199841312132776,8.215274923015386,8.266806041821837,2021-09-01 19:48:55.154000052,2021-09-01 19:48:54.922000312,2021-09-01 19:48:54.942999923,2021-09-01 19:48:54.994000042
2,1,2,2021-09-01 19:48:46.727571000,2021-09-01 19:48:46.722419000,2021-09-01 19:48:46.727498000,2021-09-01 19:48:46.727116000,8.22042930079624,8.060581278055906,11.568501747213304,8.332884074188769,2021-09-01 19:48:54.948000301,2021-09-01 19:48:54.783000278,2021-09-01 19:48:58.295999747,2021-09-01 19:48:55.060000074
3,1,3,2021-09-01 19:48:55.044794000,2021-09-01 19:48:55.326647000,2021-09-01 19:48:55.015073000,2021-09-01 19:48:55.105664000,8.567206137347966,8.3843529750593,8.628926720935851,8.750335750635713,2021-09-01 19:49:03.612000137,2021-09-01 19:49:03.710999975,2021-09-01 19:49:03.643999721,2021-09-01 19:49:03.855999751
4,1,4,2021-09-01 19:48:55.374160000,2021-09-01 19:48:55.129980000,2021-09-01 19:48:55.147708000,2021-09-01 19:48:55.201406000,8.976840264163911,9.103020375128835,8.669292186852545,8.50059410277754,2021-09-01 19:49:04.351000264,2021-09-01 19:49:04.233000375,2021-09-01 19:49:03.817000187,2021-09-01 19:49:03.702000102
5,1,5,2021-09-01 19:48:55.152554000,2021-09-01 19:48:54.979829000,2021-09-01 19:48:58.476528000,2021-09-01 19:48:55.277832000,9.357445540837944,8.815171375870705,8.420471837744117,8.471168224699795,2021-09-01 19:49:04.509999541,2021-09-01 19:49:03.795000376,2021-09-01 19:49:06.896999838,2021-09-01 19:49:03.749000225
6,1,6,2021-09-01 19:49:03.792183000,2021-09-01 19:49:03.900349000,2021-09-01 19:49:03.823274000,2021-09-01 19:49:04.068284000,8.743816663045436,8.70265051908791,8.639726364053786,8.685716029722244,2021-09-01 19:49:12.535999663,2021-09-01 19:49:12.602999519,2021-09-01 19:49:12.463000364,2021-09-01 19:49:12.754000030
7,1,7,2021-09-01 19:49:04.557488000,2021-09-01 19:49:04.441234000,2021-09-01 19:49:04.027524000,2021-09-01 19:49:03.889838000,8.460511515848339,8.336765795014799,8.417475696187466,8.514161682222039,2021-09-01 19:49:13.017999516,2021-09-01 19:49:12.777999795,2021-09-01 19:49:12.444999696,2021-09-01 19:49:12.403999682
8,1,8,2021-09-01 19:49:04.731644000,2021-09-01 19:49:03.997186000,2021-09-01 19:49:07.079306000,2021-09-01 19:49:03.945121000,8.312355788890272,8.391814455855638,9.652694409713147,8.644879209809005,2021-09-01 19:49:13.043999789,2021-09-01 19:49:12.389000456,2021-09-01 19:49:16.732000410,2021-09-01 19:49:12.590000210
9,1,9,2021-09-01 19:49:12.733095000,2021-09-01 19:49:12.800865000,2021-09-01 19:49:12.649882000,2021-09-01 19:49:12.964192000,8.708904669154435,9.553135123569518,8.412118122912943,8.520808384288102,2021-09-01 19:49:21.441999669,2021-09-01 19:49:22.354000124,2021-09-01 19:49:21.062000123,2021-09-01 19:49:21.485000383
