,Epoch,Index number,Iteration time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3,Training stall time (sec),Delay time (sec),Batch fetch time diff (sec),Batch fetch start time diff (sec)
0,1,0,9.778004,8.596788,8.904674,8.673933,8.685712,8.904674,0.3078859999999999,0.29918999737128615,0.005908
1,1,1,0.896029,6e-06,2e-06,6e-06,2e-06,6e-06,4.000000000000001e-06,0.22664973977953196,0.005566000000000001
2,1,2,2.219373,6e-06,2e-06,1.345563,2e-06,1.345563,1.345561,3.5079204691573977,0.005152
3,1,3,5.680703,4.459359,4.572775,4.482008,4.805935,4.805935,0.3465759999999998,0.3659827755764127,0.311574
4,1,4,0.894344,6e-06,2e-06,6e-06,2e-06,6e-06,4.000000000000001e-06,0.6024262723512948,0.24418
5,1,5,2.027143,6e-06,3e-06,1.158376,2e-06,1.158376,1.158374,0.9369737030938268,3.496699
6,1,6,5.907486,4.796483,4.879281,4.80227,5.029221,5.029221,0.23273799999999945,0.10409029899165034,0.27610100000000004
7,1,7,0.896637,5e-06,3e-06,6e-06,2e-06,6e-06,4.000000000000001e-06,0.17739588720723987,0.6676500000000001
8,1,8,3.037416,6e-06,2e-06,2.169399,2e-06,2.169399,2.169397,1.340338620822875,3.134185
9,1,9,5.65289,3.843838,4.782011,3.451144,3.914205,4.782011,1.3308669999999996,1.141017000656575,0.31431000000000003
10,1,10,0.896184,6e-06,2e-06,6e-06,3e-06,6e-06,4.000000000000001e-06,0.053048246540129185,0.645729
11,1,11,2.439152,2e-06,0.470657,1.569256,1.1e-05,1.569256,1.569254,3.291279552038759,4.348940000000001
12,1,12,5.884115,3.896364,5.010037,3.370325,4.007851,5.010037,1.6397119999999998,0.3287398791871965,1.315261
13,1,13,0.896625,6e-06,1e-06,5e-06,2e-06,6e-06,5e-06,0.23205911926925182,0.677458
14,1,14,1.777599,6e-06,2e-06,0.90429,2e-06,0.90429,0.9042880000000001,0.2025958406738937,3.6768940000000003
15,1,15,6.063602,4.170991,5.186866,3.524168,4.108463,5.186866,1.6626980000000002,0.14674467965960503,1.6568370000000001
16,1,16,0.897053,6e-06,2e-06,5e-06,3e-06,6e-06,4.000000000000001e-06,0.20632899180054665,0.5018250000000001
17,1,17,1.998386,6e-06,2e-06,1.125302,2e-06,1.125302,1.1253,0.2563496148213744,3.562564
18,1,18,6.041123,4.42738,5.157571,3.776039,4.090178,5.157571,1.381532,0.2869904604740441,1.6531930000000001
19,1,19,0.897796,6e-06,2e-06,6e-06,2e-06,6e-06,4.000000000000001e-06,0.2592989890836179,0.6234740000000001
20,1,20,1.810757,5e-06,3e-06,0.942221,2e-06,0.942221,0.942219,0.07240772480145097,3.5194240000000003
21,1,21,6.359522,4.68591,5.480607,3.830298,4.297093,5.480607,1.650309,0.2623359179124236,1.384665
22,1,22,0.895522,6e-06,2e-06,5e-06,2e-06,6e-06,4.000000000000001e-06,0.3364893631078303,0.477254
23,1,23,1.605936,6e-06,3e-06,0.735887,2e-06,0.735887,0.735885,0.1175282159820199,3.5082030000000004
24,1,24,6.48379,5.26256,5.609295,3.927112,4.678409,5.609295,1.6821830000000002,0.35143650230020285,1.6613660000000001
25,1,25,0.896946,6e-06,3e-06,6e-06,2e-06,6e-06,4.000000000000001e-06,0.26744904182851315,0.745047
26,1,26,1.501727,6e-06,3e-06,0.629961,2e-06,0.629961,0.629959,0.26147515000775456,3.482168
27,1,27,6.373824,5.199367,5.493889,3.949872,4.673898,5.493889,1.5440170000000002,0.20516209490597248,1.681062
28,1,28,0.895392,6e-06,2e-06,6e-06,3e-06,6e-06,4.000000000000001e-06,0.21360877016559243,0.854294
29,1,29,1.526861,6e-06,2e-06,0.654612,2e-06,0.654612,0.65461,0.10814049560576677,3.556042
30,1,30,6.431768,5.428313,5.556873,3.927333,4.777083,5.556873,1.6295400000000004,0.13008575467392802,1.662166
31,1,31,0.896693,5e-06,2e-06,5e-06,2e-06,5e-06,3.0000000000000005e-06,0.16414174484089017,0.884488
32,1,32,1.327313,6e-06,3e-06,0.458588,2e-06,0.458588,0.458586,0.04367939010262489,3.538993
33,1,33,6.522078,5.578847,5.642485,3.901,4.801442,5.642485,1.741485,0.15966369258239865,1.6422910000000002
34,1,34,0.896989,5e-06,3e-06,6e-06,3e-06,6e-06,3e-06,0.4870143192820251,0.779313
35,1,35,1.36677,6e-06,3e-06,0.492571,2e-06,0.492571,0.492569,3.192852199077606,3.552254
36,1,36,6.774257,5.876979,5.881767,4.00013,4.812487,5.881767,1.8816369999999996,0.24578736769035459,1.7422700000000002
37,1,37,0.894526,6e-06,2e-06,6e-06,2e-06,6e-06,4.000000000000001e-06,0.12695332244038582,0.828442
38,1,38,1.233543,0.096695,3e-06,0.358545,3e-06,0.358545,0.358542,0.21690426766872406,1.743003
39,1,39,7.006037,6.054749,6.129358,4.324544,4.942513,6.129358,1.8048139999999995,0.17667755065485835,1.8717050000000002
40,1,40,0.895081,6e-06,3e-06,6e-06,3e-06,6e-06,3e-06,0.5156221729703248,0.8626680000000001
41,1,41,0.895892,5e-06,2e-06,6e-06,2e-06,6e-06,4.000000000000001e-06,0.29312835866585374,1.723754
