,Epoch,Index number,Start time_gpu0,Start time_gpu1,Start time_gpu2,Start time_gpu3,Fetch time (sec)_gpu0,Fetch time (sec)_gpu1,Fetch time (sec)_gpu2,Fetch time (sec)_gpu3,Fetch done time (sec)_gpu0,Fetch done time (sec)_gpu1,Fetch done time (sec)_gpu2,Fetch done time (sec)_gpu3
0,1,0,2021-09-01 19:48:46.725128000,2021-09-01 19:48:46.725128000,2021-09-01 19:48:46.725128000,2021-09-01 19:48:46.725128000,8.18907789629884,8.18907789629884,8.18907789629884,8.18907789629884,2021-09-01 19:48:54.914205896,2021-09-01 19:48:54.914205896,2021-09-01 19:48:54.914205896,2021-09-01 19:48:54.914205896
1,1,1,2021-09-01 19:48:46.724942000,2021-09-01 19:48:46.724942000,2021-09-01 19:48:46.724942000,2021-09-01 19:48:46.724942000,8.277103332220577,8.277103332220577,8.277103332220577,8.277103332220577,2021-09-01 19:48:55.002045332,2021-09-01 19:48:55.002045332,2021-09-01 19:48:55.002045332,2021-09-01 19:48:55.002045332
2,1,2,2021-09-01 19:48:46.724995000,2021-09-01 19:48:46.724995000,2021-09-01 19:48:46.724995000,2021-09-01 19:48:46.724995000,9.045599100063555,9.045599100063555,9.045599100063555,9.045599100063555,2021-09-01 19:48:55.770594100,2021-09-01 19:48:55.770594100,2021-09-01 19:48:55.770594100,2021-09-01 19:48:55.770594100
3,1,3,2021-09-01 19:48:55.170860000,2021-09-01 19:48:55.170860000,2021-09-01 19:48:55.170860000,2021-09-01 19:48:55.170860000,8.582705395994708,8.582705395994708,8.582705395994708,8.582705395994708,2021-09-01 19:49:03.753565396,2021-09-01 19:49:03.753565396,2021-09-01 19:49:03.753565396,2021-09-01 19:49:03.753565396
4,1,4,2021-09-01 19:48:55.252070000,2021-09-01 19:48:55.252070000,2021-09-01 19:48:55.252070000,2021-09-01 19:48:55.252070000,8.812436732230708,8.812436732230708,8.812436732230708,8.812436732230708,2021-09-01 19:49:04.064506732,2021-09-01 19:49:04.064506732,2021-09-01 19:49:04.064506732,2021-09-01 19:49:04.064506732
5,1,5,2021-09-01 19:48:56.728178500,2021-09-01 19:48:56.728178500,2021-09-01 19:48:56.728178500,2021-09-01 19:48:56.728178500,8.76606424478814,8.76606424478814,8.76606424478814,8.76606424478814,2021-09-01 19:49:05.494242745,2021-09-01 19:49:05.494242745,2021-09-01 19:49:05.494242745,2021-09-01 19:49:05.494242745
6,1,6,2021-09-01 19:49:03.930233500,2021-09-01 19:49:03.930233500,2021-09-01 19:49:03.930233500,2021-09-01 19:49:03.930233500,8.692977393977344,8.692977393977344,8.692977393977344,8.692977393977344,2021-09-01 19:49:12.623210894,2021-09-01 19:49:12.623210894,2021-09-01 19:49:12.623210894,2021-09-01 19:49:12.623210894
7,1,7,2021-09-01 19:49:04.223663000,2021-09-01 19:49:04.223663000,2021-09-01 19:49:04.223663000,2021-09-01 19:49:04.223663000,8.43222867231816,8.43222867231816,8.43222867231816,8.43222867231816,2021-09-01 19:49:12.655891672,2021-09-01 19:49:12.655891672,2021-09-01 19:49:12.655891672,2021-09-01 19:49:12.655891672
8,1,8,2021-09-01 19:49:05.512213500,2021-09-01 19:49:05.512213500,2021-09-01 19:49:05.512213500,2021-09-01 19:49:05.512213500,8.750435966067016,8.750435966067016,8.750435966067016,8.750435966067016,2021-09-01 19:49:14.262649466,2021-09-01 19:49:14.262649466,2021-09-01 19:49:14.262649466,2021-09-01 19:49:14.262649466
9,1,9,2021-09-01 19:49:12.807037000,2021-09-01 19:49:12.807037000,2021-09-01 19:49:12.807037000,2021-09-01 19:49:12.807037000,8.79874157498125,8.79874157498125,8.79874157498125,8.79874157498125,2021-09-01 19:49:21.605778575,2021-09-01 19:49:21.605778575,2021-09-01 19:49:21.605778575,2021-09-01 19:49:21.605778575
10,1,10,2021-09-01 19:49:12.906975500,2021-09-01 19:49:12.906975500,2021-09-01 19:49:12.906975500,2021-09-01 19:49:12.906975500,8.811565055279061,8.811565055279061,8.811565055279061,8.811565055279061,2021-09-01 19:49:21.718540555,2021-09-01 19:49:21.718540555,2021-09-01 19:49:21.718540555,2021-09-01 19:49:21.718540555
11,1,11,2021-09-01 19:49:14.742799000,2021-09-01 19:49:14.742799000,2021-09-01 19:49:14.742799000,2021-09-01 19:49:14.742799000,10.141410994459875,10.141410994459875,10.141410994459875,10.141410994459875,2021-09-01 19:49:24.884209994,2021-09-01 19:49:24.884209994,2021-09-01 19:49:24.884209994,2021-09-01 19:49:24.884209994
12,1,12,2021-09-01 19:49:21.899366500,2021-09-01 19:49:21.899366500,2021-09-01 19:49:21.899366500,2021-09-01 19:49:21.899366500,8.877820796333253,8.877820796333253,8.877820796333253,8.877820796333253,2021-09-01 19:49:30.777187296,2021-09-01 19:49:30.777187296,2021-09-01 19:49:30.777187296,2021-09-01 19:49:30.777187296
13,1,13,2021-09-01 19:49:21.924705000,2021-09-01 19:49:21.924705000,2021-09-01 19:49:21.924705000,2021-09-01 19:49:21.924705000,8.442470981972292,8.442470981972292,8.442470981972292,8.442470981972292,2021-09-01 19:49:30.367175982,2021-09-01 19:49:30.367175982,2021-09-01 19:49:30.367175982,2021-09-01 19:49:30.367175982
14,1,14,2021-09-01 19:49:24.058485000,2021-09-01 19:49:24.058485000,2021-09-01 19:49:24.058485000,2021-09-01 19:49:24.058485000,8.411749217193574,8.411749217193574,8.411749217193574,8.411749217193574,2021-09-01 19:49:32.470234217,2021-09-01 19:49:32.470234217,2021-09-01 19:49:32.470234217,2021-09-01 19:49:32.470234217
