,Epoch,Index number,Iteration time (sec),Training Stall time (sec)_gpu0,Training Stall time (sec)_gpu1,Training Stall time (sec)_gpu2,Training Stall time (sec)_gpu3,Training stall time (sec),Delay time (sec),Batch fetch time diff (sec),Batch fetch start time diff (sec)
0,1,0,9.646469136999999,8.669993577,8.709880139,8.773139137,8.703918146000001,8.773139137,0.10314555999999975,0.0,0.0
1,1,1,0.896029,2e-06,2e-06,6e-06,2e-06,6e-06,4.000000000000001e-06,0.0,0.0
2,1,2,0.8738159999999999,6e-06,2e-06,2e-06,2e-06,6e-06,4.000000000000001e-06,0.0,0.0
3,1,3,5.5782686450000005,4.600924259,4.615340421,4.591573675,4.703500645,4.703500645,0.11192696999999985,0.0,0.0
4,1,4,0.894344,2e-06,2e-06,6e-06,2e-06,6e-06,4.000000000000001e-06,0.0,0.0
5,1,5,0.868773,6e-06,3e-06,2e-06,2e-06,6e-06,4.000000000000001e-06,0.0,0.0
6,1,6,5.8407455299999995,4.883694231000001,4.8994923749999995,4.96248053,4.898431864,4.96248053,0.078786298999999,0.0,0.0
7,1,7,0.896637,2e-06,2e-06,6e-06,2e-06,6e-06,4.000000000000001e-06,0.0,0.0
8,1,8,0.868023,6e-06,2e-06,2e-06,2e-06,6e-06,4.000000000000001e-06,0.0,0.0
9,1,9,4.905862192000001,4.007616906,4.033789451,3.994922452,4.034983192,4.034983192,0.04006074000000037,0.0,0.0
10,1,10,0.896184,2e-06,2e-06,6e-06,3e-06,6e-06,4.000000000000001e-06,0.0,0.0
11,1,11,1.6093621009999999,2e-06,0.729867328,0.739466101,1.1e-05,0.739466101,0.739464101,0.0,0.0
12,1,12,5.077115957,4.193551552000001,4.188223805,4.1925126839999995,4.203037956999999,4.203037956999999,0.01481415199999958,0.0,0.0
13,1,13,0.8966240000000001,2e-06,1e-06,5e-06,2e-06,5e-06,4.000000000000001e-06,0.0,0.0
14,1,14,0.8733149999999998,6e-06,2e-06,2e-06,2e-06,6e-06,4.000000000000001e-06,0.0,0.0
15,1,15,5.257485195,4.380749195,4.378624921,4.347927011,4.363221875000001,4.380749195,0.03282218399999959,0.0,0.0
16,1,16,0.8970520000000001,2e-06,2e-06,5e-06,3e-06,5e-06,3.0000000000000005e-06,0.0,0.0
17,1,17,0.8730899999999999,6e-06,2e-06,2e-06,2e-06,6e-06,4.000000000000001e-06,0.0,0.0
18,1,18,5.418262954,4.534710954,4.453902202,4.443369692,4.461509153,4.534710954,0.09134126200000026,0.0,0.0
19,1,19,0.897796,2e-06,2e-06,6e-06,2e-06,6e-06,4.000000000000001e-06,0.0,0.0
20,1,20,0.868541,5e-06,2e-06,2e-06,2e-06,5e-06,3.0000000000000005e-06,0.0,0.0
21,1,21,5.629404646,4.690307359,4.677003539,4.673695457,4.750489646,4.750489646,0.07679418900000012,0.0,0.0
22,1,22,0.8955210000000001,2e-06,2e-06,5e-06,2e-06,5e-06,3.0000000000000005e-06,0.0,0.0
23,1,23,0.870055,6e-06,2e-06,2e-06,2e-06,6e-06,4.000000000000001e-06,0.0,0.0
24,1,24,5.924822116,5.050327116,4.930062830000001,4.926879618,4.967176437,5.050327116,0.12344749799999999,0.0,0.0
25,1,25,0.896946,2e-06,3e-06,6e-06,2e-06,6e-06,4.000000000000001e-06,0.0,0.0
26,1,26,0.871772,6e-06,2e-06,2e-06,2e-06,6e-06,4.000000000000001e-06,0.0,0.0
27,1,27,5.760908204,4.712469109,4.7319910730000005,4.880973204,4.731999615,4.880973204,0.1685040950000003,0.0,0.0
