,Epoch,Index number,Start time_gpu0,Start time_gpu1,Start time_gpu2,Start time_gpu3,Fetch time (sec)_gpu0,Fetch time (sec)_gpu1,Fetch time (sec)_gpu2,Fetch time (sec)_gpu3,Fetch done time (sec)_gpu0,Fetch done time (sec)_gpu1,Fetch done time (sec)_gpu2,Fetch done time (sec)_gpu3
0,1,0,2021-09-01 19:48:46.725128000,2021-09-01 19:48:46.725128000,2021-09-01 19:48:46.725128000,2021-09-01 19:48:46.725128000,8.08763575926423,8.08763575926423,8.08763575926423,8.08763575926423,2021-09-01 19:48:54.812763759,2021-09-01 19:48:54.812763759,2021-09-01 19:48:54.812763759,2021-09-01 19:48:54.812763759
1,1,1,2021-09-01 19:48:46.724942000,2021-09-01 19:48:46.724942000,2021-09-01 19:48:46.724942000,2021-09-01 19:48:46.724942000,8.199841312132776,8.199841312132776,8.199841312132776,8.199841312132776,2021-09-01 19:48:54.924783312,2021-09-01 19:48:54.924783312,2021-09-01 19:48:54.924783312,2021-09-01 19:48:54.924783312
2,1,2,2021-09-01 19:48:46.724995000,2021-09-01 19:48:46.724995000,2021-09-01 19:48:46.724995000,2021-09-01 19:48:46.724995000,8.060581278055906,8.060581278055906,8.060581278055906,8.060581278055906,2021-09-01 19:48:54.785576278,2021-09-01 19:48:54.785576278,2021-09-01 19:48:54.785576278,2021-09-01 19:48:54.785576278
3,1,3,2021-09-01 19:48:55.170860000,2021-09-01 19:48:55.170860000,2021-09-01 19:48:55.170860000,2021-09-01 19:48:55.170860000,8.3843529750593,8.3843529750593,8.3843529750593,8.3843529750593,2021-09-01 19:49:03.555212975,2021-09-01 19:49:03.555212975,2021-09-01 19:49:03.555212975,2021-09-01 19:49:03.555212975
4,1,4,2021-09-01 19:48:55.252070000,2021-09-01 19:48:55.252070000,2021-09-01 19:48:55.252070000,2021-09-01 19:48:55.252070000,8.50059410277754,8.50059410277754,8.50059410277754,8.50059410277754,2021-09-01 19:49:03.752664102,2021-09-01 19:49:03.752664102,2021-09-01 19:49:03.752664102,2021-09-01 19:49:03.752664102
5,1,5,2021-09-01 19:48:56.728178500,2021-09-01 19:48:56.728178500,2021-09-01 19:48:56.728178500,2021-09-01 19:48:56.728178500,8.420471837744117,8.420471837744117,8.420471837744117,8.420471837744117,2021-09-01 19:49:05.148650338,2021-09-01 19:49:05.148650338,2021-09-01 19:49:05.148650338,2021-09-01 19:49:05.148650338
6,1,6,2021-09-01 19:49:03.930233500,2021-09-01 19:49:03.930233500,2021-09-01 19:49:03.930233500,2021-09-01 19:49:03.930233500,8.639726364053786,8.639726364053786,8.639726364053786,8.639726364053786,2021-09-01 19:49:12.569959864,2021-09-01 19:49:12.569959864,2021-09-01 19:49:12.569959864,2021-09-01 19:49:12.569959864
7,1,7,2021-09-01 19:49:04.223663000,2021-09-01 19:49:04.223663000,2021-09-01 19:49:04.223663000,2021-09-01 19:49:04.223663000,8.336765795014799,8.336765795014799,8.336765795014799,8.336765795014799,2021-09-01 19:49:12.560428795,2021-09-01 19:49:12.560428795,2021-09-01 19:49:12.560428795,2021-09-01 19:49:12.560428795
8,1,8,2021-09-01 19:49:05.512213500,2021-09-01 19:49:05.512213500,2021-09-01 19:49:05.512213500,2021-09-01 19:49:05.512213500,8.312355788890272,8.312355788890272,8.312355788890272,8.312355788890272,2021-09-01 19:49:13.824569289,2021-09-01 19:49:13.824569289,2021-09-01 19:49:13.824569289,2021-09-01 19:49:13.824569289
9,1,9,2021-09-01 19:49:12.807037000,2021-09-01 19:49:12.807037000,2021-09-01 19:49:12.807037000,2021-09-01 19:49:12.807037000,8.412118122912943,8.412118122912943,8.412118122912943,8.412118122912943,2021-09-01 19:49:21.219155123,2021-09-01 19:49:21.219155123,2021-09-01 19:49:21.219155123,2021-09-01 19:49:21.219155123
10,1,10,2021-09-01 19:49:12.906975500,2021-09-01 19:49:12.906975500,2021-09-01 19:49:12.906975500,2021-09-01 19:49:12.906975500,8.779111337382346,8.779111337382346,8.779111337382346,8.779111337382346,2021-09-01 19:49:21.686086837,2021-09-01 19:49:21.686086837,2021-09-01 19:49:21.686086837,2021-09-01 19:49:21.686086837
11,1,11,2021-09-01 19:49:14.742799000,2021-09-01 19:49:14.742799000,2021-09-01 19:49:14.742799000,2021-09-01 19:49:14.742799000,8.765391114167869,8.765391114167869,8.765391114167869,8.765391114167869,2021-09-01 19:49:23.508190114,2021-09-01 19:49:23.508190114,2021-09-01 19:49:23.508190114,2021-09-01 19:49:23.508190114
12,1,12,2021-09-01 19:49:21.899366500,2021-09-01 19:49:21.899366500,2021-09-01 19:49:21.899366500,2021-09-01 19:49:21.899366500,8.713263611774892,8.713263611774892,8.713263611774892,8.713263611774892,2021-09-01 19:49:30.612630112,2021-09-01 19:49:30.612630112,2021-09-01 19:49:30.612630112,2021-09-01 19:49:30.612630112
13,1,13,2021-09-01 19:49:21.924705000,2021-09-01 19:49:21.924705000,2021-09-01 19:49:21.924705000,2021-09-01 19:49:21.924705000,8.345964478794485,8.345964478794485,8.345964478794485,8.345964478794485,2021-09-01 19:49:30.270669479,2021-09-01 19:49:30.270669479,2021-09-01 19:49:30.270669479,2021-09-01 19:49:30.270669479
14,1,14,2021-09-01 19:49:24.058485000,2021-09-01 19:49:24.058485000,2021-09-01 19:49:24.058485000,2021-09-01 19:49:24.058485000,8.296185676008463,8.296185676008463,8.296185676008463,8.296185676008463,2021-09-01 19:49:32.354670676,2021-09-01 19:49:32.354670676,2021-09-01 19:49:32.354670676,2021-09-01 19:49:32.354670676
15,1,15,2021-09-01 19:49:30.963202500,2021-09-01 19:49:30.963202500,2021-09-01 19:49:30.963202500,2021-09-01 19:49:30.963202500,8.485942769329995,8.485942769329995,8.485942769329995,8.485942769329995,2021-09-01 19:49:39.449145269,2021-09-01 19:49:39.449145269,2021-09-01 19:49:39.449145269,2021-09-01 19:49:39.449145269
16,1,16,2021-09-01 19:49:30.562204500,2021-09-01 19:49:30.562204500,2021-09-01 19:49:30.562204500,2021-09-01 19:49:30.562204500,8.712707956321537,8.712707956321537,8.712707956321537,8.712707956321537,2021-09-01 19:49:39.274912456,2021-09-01 19:49:39.274912456,2021-09-01 19:49:39.274912456,2021-09-01 19:49:39.274912456
17,1,17,2021-09-01 19:49:32.677081000,2021-09-01 19:49:32.677081000,2021-09-01 19:49:32.677081000,2021-09-01 19:49:32.677081000,8.677780595142394,8.677780595142394,8.677780595142394,8.677780595142394,2021-09-01 19:49:41.354861595,2021-09-01 19:49:41.354861595,2021-09-01 19:49:41.354861595,2021-09-01 19:49:41.354861595
