,Epoch,Index number,Fetch time (sec)_gpu0,Fetch time (sec)_gpu1,Fetch time (sec)_gpu2,Fetch time (sec)_gpu3,Start time_gpu0,Start time_gpu1,Start time_gpu2,Start time_gpu3,Min fetch time (sec),Avg fetch time (sec),Min start time,Fetch done time (sec)_gpu0,Training start time_gpu0,Iteration time (sec)_gpu0,Training Stall time (sec)_gpu0,Fetch done time (sec)_gpu1,Training start time_gpu1,Iteration time (sec)_gpu1,Training Stall time (sec)_gpu1,Fetch done time (sec)_gpu2,Training start time_gpu2,Iteration time (sec)_gpu2,Training Stall time (sec)_gpu2,Fetch done time (sec)_gpu3,Training start time_gpu3,Iteration time (sec)_gpu3,Training Stall time (sec)_gpu3
0,1,0,8.112918319180608,8.386825756635517,8.08763575926423,8.168931750115007,2021-09-01 19:48:46.728082000,2021-09-01 19:48:46.722174000,2021-09-01 19:48:46.727364000,2021-09-01 19:48:46.727068000,8.08763575926423,8.18907789629884,2021-09-01 19:48:46.722174000,2021-09-01 19:48:54.841000319,2021-09-01 19:48:55.191641000,9.777588,8.596788,2021-09-01 19:48:55.108999757,2021-09-01 19:48:55.499482000,9.777527,8.904674,2021-09-01 19:48:54.814999759,2021-09-01 19:48:55.268586000,9.778004,8.673933,2021-09-01 19:48:54.895999750,2021-09-01 19:48:55.280864000,9.777059,8.685712
1,1,1,8.426491051912308,8.199841312132776,8.215274923015386,8.266806041821837,2021-09-01 19:48:46.727509000,2021-09-01 19:48:46.722159000,2021-09-01 19:48:46.727725000,2021-09-01 19:48:46.727194000,8.199841312132776,8.277103332220577,2021-09-01 19:48:46.722159000,2021-09-01 19:48:55.154000052,2021-09-01 19:48:55.781611000,0.896029,6e-06,2021-09-01 19:48:54.922000312,2021-09-01 19:48:56.094582000,0.895753,2e-06,2021-09-01 19:48:54.942999923,2021-09-01 19:48:56.095136000,0.894281,6e-06,2021-09-01 19:48:54.994000042,2021-09-01 19:48:56.093251000,0.895666,2e-06
2,1,2,8.22042930079624,8.060581278055906,11.568501747213304,8.332884074188769,2021-09-01 19:48:46.727571000,2021-09-01 19:48:46.722419000,2021-09-01 19:48:46.727498000,2021-09-01 19:48:46.727116000,8.060581278055906,9.045599100063555,2021-09-01 19:48:46.722419000,2021-09-01 19:48:54.948000301,2021-09-01 19:48:56.980967000,2.217686,6e-06,2021-09-01 19:48:54.783000278,2021-09-01 19:48:56.988921000,2.217993,2e-06,2021-09-01 19:48:58.295999747,2021-09-01 19:48:58.612528000,2.219373,1.345563,2021-09-01 19:48:55.060000074,2021-09-01 19:48:56.990001000,2.21828,2e-06
3,1,3,8.567206137347966,8.3843529750593,8.628926720935851,8.750335750635713,2021-09-01 19:48:55.044794000,2021-09-01 19:48:55.326647000,2021-09-01 19:48:55.015073000,2021-09-01 19:48:55.105664000,8.3843529750593,8.582705395994708,2021-09-01 19:48:55.015073000,2021-09-01 19:49:03.612000137,2021-09-01 19:49:03.945978000,5.680519,4.459359,2021-09-01 19:49:03.710999975,2021-09-01 19:49:04.059359000,5.680156,4.572775,2021-09-01 19:49:03.643999721,2021-09-01 19:49:03.968382000,5.680703,4.482008,2021-09-01 19:49:03.855999751,2021-09-01 19:49:04.292639000,5.680231,4.805935
4,1,4,8.976840264163911,9.103020375128835,8.669292186852545,8.50059410277754,2021-09-01 19:48:55.374160000,2021-09-01 19:48:55.129980000,2021-09-01 19:48:55.147708000,2021-09-01 19:48:55.201406000,8.50059410277754,8.812436732230708,2021-09-01 19:48:55.129980000,2021-09-01 19:49:04.351000264,2021-09-01 19:49:04.713004000,0.894122,6e-06,2021-09-01 19:49:04.233000375,2021-09-01 19:49:04.670439000,0.894344,2e-06,2021-09-01 19:49:03.817000187,2021-09-01 19:49:04.660043000,0.893107,6e-06,2021-09-01 19:49:03.702000102,2021-09-01 19:49:04.890191000,0.894026,2e-06
5,1,5,9.357445540837944,8.815171375870705,8.420471837744117,8.471168224699795,2021-09-01 19:48:55.152554000,2021-09-01 19:48:54.979829000,2021-09-01 19:48:58.476528000,2021-09-01 19:48:55.277832000,8.420471837744117,8.76606424478814,2021-09-01 19:48:54.979829000,2021-09-01 19:49:04.509999541,2021-09-01 19:49:05.776642000,2.025566,6e-06,2021-09-01 19:49:03.795000376,2021-09-01 19:49:05.779927000,2.025705,3e-06,2021-09-01 19:49:06.896999838,2021-09-01 19:49:07.218588000,2.027143,1.158376,2021-09-01 19:49:03.749000225,2021-09-01 19:49:05.784146000,2.026123,2e-06
6,1,6,8.743816663045436,8.70265051908791,8.639726364053786,8.685716029722244,2021-09-01 19:49:03.792183000,2021-09-01 19:49:03.900349000,2021-09-01 19:49:03.823274000,2021-09-01 19:49:04.068284000,8.639726364053786,8.692977393977344,2021-09-01 19:49:03.792183000,2021-09-01 19:49:12.535999663,2021-09-01 19:49:12.883781000,5.907486,4.796483,2021-09-01 19:49:12.602999519,2021-09-01 19:49:12.966588000,5.907085,4.879281,2021-09-01 19:49:12.463000364,2021-09-01 19:49:12.889661000,5.907335,4.80227,2021-09-01 19:49:12.754000030,2021-09-01 19:49:13.116838000,5.907014,5.029221
7,1,7,8.460511515848339,8.336765795014799,8.417475696187466,8.514161682222039,2021-09-01 19:49:04.557488000,2021-09-01 19:49:04.441234000,2021-09-01 19:49:04.027524000,2021-09-01 19:49:03.889838000,8.336765795014799,8.43222867231816,2021-09-01 19:49:03.889838000,2021-09-01 19:49:13.017999516,2021-09-01 19:49:13.477357000,0.896559,5e-06,2021-09-01 19:49:12.777999795,2021-09-01 19:49:13.561645000,0.896637,3e-06,2021-09-01 19:49:12.444999696,2021-09-01 19:49:13.565903000,0.895145,6e-06,2021-09-01 19:49:12.403999682,2021-09-01 19:49:13.716040000,0.896209,2e-06
8,1,8,8.312355788890272,8.391814455855638,9.652694409713147,8.644879209809005,2021-09-01 19:49:04.731644000,2021-09-01 19:49:03.997186000,2021-09-01 19:49:07.079306000,2021-09-01 19:49:03.945121000,8.312355788890272,8.750435966067016,2021-09-01 19:49:03.945121000,2021-09-01 19:49:13.043999789,2021-09-01 19:49:14.607849000,3.035682,6e-06,2021-09-01 19:49:12.389000456,2021-09-01 19:49:14.607166000,3.035908,2e-06,2021-09-01 19:49:16.732000410,2021-09-01 19:49:17.059303000,3.037416,2.169399,2021-09-01 19:49:12.590000210,2021-09-01 19:49:14.613438000,3.03627,2e-06
9,1,9,8.708904669154435,9.553135123569518,8.412118122912943,8.520808384288102,2021-09-01 19:49:12.733095000,2021-09-01 19:49:12.800865000,2021-09-01 19:49:12.649882000,2021-09-01 19:49:12.964192000,8.412118122912943,8.79874157498125,2021-09-01 19:49:12.649882000,2021-09-01 19:49:21.441999669,2021-09-01 19:49:21.771329000,5.652606,3.843838,2021-09-01 19:49:22.354000124,2021-09-01 19:49:22.709515000,5.652343,4.782011,2021-09-01 19:49:21.062000123,2021-09-01 19:49:21.378490000,5.65289,3.451144,2021-09-01 19:49:21.485000383,2021-09-01 19:49:21.841841000,5.652333,3.914205
10,1,10,8.832159583922476,8.779111337382346,8.8171003931202,8.817888906691223,2021-09-01 19:49:13.229840000,2021-09-01 19:49:12.986889000,2021-09-01 19:49:12.629900000,2021-09-01 19:49:12.584111000,8.779111337382346,8.811565055279061,2021-09-01 19:49:12.584111000,2021-09-01 19:49:22.061999584,2021-09-01 19:49:22.525215000,0.896036,6e-06,2021-09-01 19:49:21.766000337,2021-09-01 19:49:23.296919000,0.895366,2e-06,2021-09-01 19:49:21.447000393,2021-09-01 19:49:23.298538000,0.895022,6e-06,2021-09-01 19:49:21.401999907,2021-09-01 19:49:23.303282000,0.896184,3e-06
11,1,11,8.765391114167869,12.056670666206628,8.7967308931984,10.946851304266602,2021-09-01 19:49:13.254609000,2021-09-01 19:49:12.568329000,2021-09-01 19:49:16.917269000,2021-09-01 19:49:12.788149000,8.765391114167869,10.141410994459875,2021-09-01 19:49:12.568329000,2021-09-01 19:49:22.020000114,2021-09-01 19:49:24.191672000,2.437998,2e-06,2021-09-01 19:49:24.624999666,2021-09-01 19:49:24.946003000,2.438878,0.470657,2021-09-01 19:49:25.713999893,2021-09-01 19:49:26.044550000,2.439152,1.569256,2021-09-01 19:49:23.735000304,2021-09-01 19:49:24.197968000,2.438024,1.1e-05
12,1,12,8.849755743984133,9.042003490962088,8.713263611774892,8.9062603386119,2021-09-01 19:49:21.630244000,2021-09-01 19:49:22.556997000,2021-09-01 19:49:21.241736000,2021-09-01 19:49:21.675740000,8.713263611774892,8.877820796333253,2021-09-01 19:49:21.241736000,2021-09-01 19:49:30.479999744,2021-09-01 19:49:30.810964000,5.883908,3.896364,2021-09-01 19:49:31.599000491,2021-09-01 19:49:31.924663000,5.88368,5.010037,2021-09-01 19:49:29.954999612,2021-09-01 19:49:30.284795000,5.884115,3.370325,2021-09-01 19:49:30.582000339,2021-09-01 19:49:30.922573000,5.883601,4.007851
13,1,13,8.355566274840385,8.345964478794485,8.490329576190561,8.578023598063737,2021-09-01 19:49:22.263434000,2021-09-01 19:49:21.966036000,2021-09-01 19:49:21.634670000,2021-09-01 19:49:21.585976000,8.345964478794485,8.442470981972292,2021-09-01 19:49:21.585976000,2021-09-01 19:49:30.619000275,2021-09-01 19:49:31.401221000,0.896625,6e-06,2021-09-01 19:49:30.312000479,2021-09-01 19:49:32.516163000,0.896609,1e-06,2021-09-01 19:49:30.124999576,2021-09-01 19:49:32.517228000,0.89518,5e-06,2021-09-01 19:49:30.163999598,2021-09-01 19:49:32.522051000,0.896368,2e-06
14,1,14,8.47396197495982,8.296185676008463,8.378067701123655,8.498781516682357,2021-09-01 19:49:22.220038000,2021-09-01 19:49:24.810814000,2021-09-01 19:49:25.896932000,2021-09-01 19:49:23.933218000,8.296185676008463,8.411749217193574,2021-09-01 19:49:22.220038000,2021-09-01 19:49:30.693999975,2021-09-01 19:49:33.412654000,1.775991,6e-06,2021-09-01 19:49:33.106999676,2021-09-01 19:49:33.470160000,1.776173,2e-06,2021-09-01 19:49:34.274999701,2021-09-01 19:49:34.598087000,1.777599,0.90429,2021-09-01 19:49:32.431999517,2021-09-01 19:49:33.418057000,1.77651,2e-06
15,1,15,8.6326874489896,8.531378724146634,8.55621563270688,8.485942769329995,2021-09-01 19:49:30.672313000,2021-09-01 19:49:31.791621000,2021-09-01 19:49:30.134784000,2021-09-01 19:49:30.774057000,8.485942769329995,8.551556143793277,2021-09-01 19:49:30.134784000,2021-09-01 19:49:39.305000449,2021-09-01 19:49:39.642575000,6.063363,4.170991,2021-09-01 19:49:40.322999723,2021-09-01 19:49:40.658461000,6.063158,5.186866,2021-09-01 19:49:38.690999633,2021-09-01 19:49:38.995587000,6.063602,3.524168,2021-09-01 19:49:39.259999769,2021-09-01 19:49:39.580182000,6.063054,4.108463
